id,probability_maraud,successful_mating,next_foraging_time,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.15,3,360.059609281,450.755385497,8.35829110192,583.0,69.2731501051,14.2001807203,1086.0,181.331553851,38.253612851,606.0,102.410707306,21.634522839,30.0,3.0,0.3,201.0,4.12150416198,0.102440743563
1,0.15,5,360.047190099,796.63164267,96.7564067387,563.0,67.6278610108,13.0491408663,1158.0,198.6476354,43.1827181181,526.0,88.334702072,18.6431709487,23.0,2.3,0.23,194.0,3.28953850278,0.0766339232435
2,0.15,11,360.004348142,158.644450789,691.917509771,573.0,69.4616687752,14.5720155482,1293.0,213.522955298,45.0949291815,415.0,69.9924055521,14.6781971988,32.0,3.2,0.32,234.0,3.95621302102,0.0887945075433
3,0.15,5,360.066793908,7.26094151534,389.536658158,561.0,71.0940045487,14.7438978013,1201.0,205.292442859,44.2121747997,462.0,78.1197645822,16.6232883156,21.0,2.1,0.21,183.0,3.58332218668,0.0853828323353
4,0.15,14,360.036293222,202.217978401,554.704699289,573.0,69.4695821124,14.0894933845,1187.0,203.261538927,43.9952210506,482.0,82.1768865851,17.6354143019,23.0,2.3,0.23,204.0,2.92321562355,0.0552074145941
5,0.15,6,359.922058706,388.635855382,409.818858064,566.0,71.9522005509,15.1861303607,933.0,160.561565897,34.9622222062,708.0,123.264223593,27.3258034559,22.0,2.2,0.22,139.0,2.11137637558,0.0367992227122
6,0.15,10,360.305319247,378.671587577,787.210393398,575.0,68.4351020774,13.8462059044,1171.0,192.29947051,39.725862782,528.0,92.6204912016,20.1853337742,34.0,3.4,0.34,210.0,3.36412136442,0.0676717696498
7,0.15,12,360.54479781,638.202279489,63.6682947104,570.0,70.2768020525,13.7954097848,1169.0,199.01849764,42.7813761336,464.0,82.3971421861,18.3546812455,45.0,4.5,0.45,216.0,3.91898123152,0.0884895478568
8,0.15,10,360.1231803,265.658619765,416.675229194,569.0,72.5858076016,15.7616382205,1106.0,190.350461779,40.7157066374,532.0,90.8043031971,19.4393549359,34.0,3.4,0.34,199.0,3.0730572947,0.0597665538238
9,0.15,6,360.236877597,884.656687725,242.281750664,565.0,71.5299181471,14.7675116249,1097.0,189.415236169,41.2749806534,542.0,94.0693095348,20.5780505097,22.0,2.2,0.22,179.0,2.91575654734,0.0638688767549
10,0.15,8,359.934487588,429.25817531,689.276254494,564.0,73.1535359632,15.8104799427,960.0,164.730514973,35.4956442243,703.0,116.879899792,24.5617896158,25.0,2.5,0.25,183.0,2.80156218525,0.0518070857503
11,0.15,10,359.851454027,114.213322162,82.6711598911,571.0,73.5862628151,15.6359750155,1276.0,213.688964748,45.4188815562,385.0,65.572356223,14.2286921157,29.0,2.9,0.29,219.0,4.29630574431,0.108949358325
12,0.15,6,360.214512197,894.737290277,424.425250164,565.0,70.1133658153,14.7230521548,1046.0,180.487654047,39.2811968808,613.0,103.115206778,21.915770653,33.0,3.3,0.33,180.0,3.06134407948,0.065834825548
13,0.0,7,360.739234181,248.577406672,337.10803092,559.0,67.8537700635,13.1507952773,1174.0,199.412563752,42.1467685913,548.0,92.8862051625,19.8416578708,0.0,0.0,0.0,0.0,0.0,0.0
14,0.15,17,359.962080818,736.840779793,486.063599701,579.0,73.2781359515,15.9334069465,1018.0,170.523268268,36.3390811262,667.0,110.693261874,23.2807834189,27.0,2.7,0.27,198.0,2.89962052161,0.054552341156
15,0.15,10,360.095628225,542.314222519,495.44132283,561.0,70.5236851798,14.5755875812,931.0,159.994875025,35.1025793082,733.0,123.557012518,26.3492646005,35.0,3.5,0.35,178.0,2.60145930409,0.0446913015902
16,0.15,8,359.980192445,501.939019637,564.907870007,562.0,75.7874918711,16.9046029721,913.0,154.151095167,32.5693384432,740.0,125.268137149,27.1474750982,25.0,2.5,0.25,170.0,2.41508983798,0.0413226364006
17,0.15,3,359.820797982,583.11295339,471.30492896,561.0,74.7813227146,16.9105870455,982.0,165.290370172,35.6526014519,677.0,115.054147244,24.5459397454,21.0,2.1,0.21,186.0,2.80578906668,0.0507700516122
18,0.15,7,360.22294875,576.025263603,822.763250922,568.0,72.5193096203,15.2184814879,1057.0,175.975221797,37.123512814,618.0,106.260288396,22.974356046,26.0,2.6,0.26,172.0,2.79579264171,0.0611066448498
