id,probability_maraud,successful_mating,next_foraging_time,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,13,360.474739175,310.079516452,577.45724166,574.0,71.809762432,14.5657967675,1253.0,208.500539638,44.3317337377,462.0,79.7630060052,17.1323099789,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,11,360.770498278,685.806934281,287.035866185,561.0,70.556244802,13.9777225306,1322.0,222.682770028,48.1434914878,376.0,66.930237423,14.6109758586,0.0,0.0,0.0,0.0,0.0,0.0
2,0.15,8,360.071436893,484.857103059,741.221605828,570.0,68.1216709158,12.8150776281,1144.0,191.106277864,40.7285867312,555.0,94.1963154234,20.0456372803,34.0,3.4,0.34,218.0,3.33237529742,0.0662409806353
3,0.0,10,360.023890143,75.7131411012,459.479795103,563.0,69.0060652523,13.8552610786,1423.0,236.17965338,49.7611508405,313.0,54.9890699794,12.2683899265,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,13,360.105301002,688.604902133,437.947588053,569.0,71.6355546615,14.8201163176,1184.0,197.353343086,41.7148464814,549.0,91.1851049068,19.1948491927,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,8,360.334759899,25.5757220373,120.363473466,575.0,68.4557915134,13.4433175026,1418.0,236.405033212,50.2427133762,326.0,55.1847182773,11.6492069696,0.0,0.0,0.0,0.0,0.0,0.0
6,0.15,6,360.375287684,201.347756737,890.175886867,558.0,71.8380173125,15.8644535894,1276.0,217.671374992,46.8332282915,359.0,60.7183876249,13.1981123354,53.0,5.3,0.53,253.0,4.56219603738,0.107284495218
7,0.15,11,360.109721864,190.327233957,363.404129218,574.0,72.4008022398,15.3823163957,1251.0,206.288125104,42.9912566795,448.0,75.4281813011,15.6280985218,27.0,2.7,0.27,195.0,3.184981233,0.0644049478579
8,0.15,13,360.288883599,770.484109152,617.31884835,565.0,71.5151494909,15.6746879303,1138.0,191.5003579,40.1909013707,545.0,91.6045935244,19.8137680874,24.0,2.4,0.24,193.0,3.15349252823,0.065812989329
9,0.0,17,360.375892636,609.487168108,489.022355615,562.0,72.1928214405,14.6954764061,1401.0,233.285979256,49.5077766133,325.0,54.7378177233,11.7870790213,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,12,360.721069788,617.583188081,485.229176195,574.0,67.9493408815,13.1728005399,1278.0,219.06769148,46.5815049941,440.0,73.0926795016,15.6488843107,0.0,0.0,0.0,0.0,0.0,0.0
11,0.15,4,360.473153939,830.366750896,732.668836439,579.0,68.5308707303,12.9243971295,1372.0,228.140316118,48.4268532591,308.0,54.809951423,11.9957713661,39.0,3.9,0.39,246.0,4.71525572793,0.110672782926
12,0.15,7,360.259436186,192.442585417,675.50699615,575.0,74.2637766975,15.512821096,1243.0,207.285992281,43.2720873263,420.0,71.6014470008,15.2326609636,35.0,3.5,0.35,228.0,3.49794291341,0.0691764749623
13,0.15,5,359.969731202,347.742584383,188.403474265,567.0,71.8056876156,14.8817213468,1167.0,201.279016696,43.2877871225,473.0,79.5384717066,17.2415837507,39.0,3.9,0.39,220.0,3.62773894497,0.0692632666416
14,0.15,10,360.243053052,565.950624489,391.260785575,579.0,72.1063183925,14.4854294362,1243.0,207.537196811,44.4997158959,461.0,73.338313459,15.3102753057,41.0,4.1,0.41,214.0,2.92175724656,0.0497194163325
15,0.0,6,359.821068944,444.262934835,220.772987683,557.0,75.2263239952,16.8173572789,1262.0,217.499280728,47.0798644938,412.0,67.3904508493,14.1366925446,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,11,360.60188172,187.868612996,896.612403772,577.0,70.5946238727,14.1030170493,1317.0,219.183403884,46.3089219751,410.0,70.4286768228,15.360426304,0.0,0.0,0.0,0.0,0.0,0.0
17,0.15,17,360.307958759,490.074173604,395.828913454,571.0,67.8984163116,13.067889648,1245.0,213.53959025,46.3012644692,442.0,73.4016341539,15.7590536496,25.0,2.5,0.25,185.0,2.73207675745,0.0455002477122
18,0.15,7,359.948171942,101.626996596,342.015365113,581.0,73.3108143125,15.8455483233,1391.0,235.258610145,50.1002401324,255.0,42.9846516861,9.13435836105,40.0,4.0,0.4,253.0,4.55861660999,0.101819433178
19,0.0,10,360.847984682,684.094127139,241.321352326,557.0,70.8784196409,15.4678122346,1422.0,240.744896755,52.6796205396,278.0,48.6194752914,10.6875768321,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,6,359.9731318,235.923857137,563.254214529,567.0,69.9697832351,13.8236738622,1160.0,192.60488731,40.6875497402,586.0,97.6527328854,20.8461357971,0.0,0.0,0.0,0.0,0.0,0.0
21,0.15,7,360.317403132,204.514569281,616.666109527,561.0,71.7341304405,15.3633120169,1292.0,214.440548861,45.6171536299,397.0,67.1041211802,14.301338617,34.0,3.4,0.34,230.0,3.38240207235,0.0653395959456
22,0.0,5,359.976224418,302.17615411,14.1195610631,590.0,70.4470860471,14.6485841201,1391.0,235.090498008,49.9138107473,327.0,54.6186803343,11.3922686369,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,8,360.273854499,800.849377355,443.342062482,566.0,70.2384181649,14.3417583817,1407.0,234.983705811,50.1095129097,313.0,54.9569918066,11.8425971772,0.0,0.0,0.0,0.0,0.0,0.0
24,0.15,7,360.435002843,683.851610344,262.433146693,559.0,71.0418558959,14.9042362674,1167.0,197.063445782,42.8565605932,493.0,84.9273444197,18.2661833771,37.0,3.7,0.37,216.0,3.48201926332,0.0717459702581
25,0.0,2,360.065354202,212.206287978,102.563915237,563.0,72.9567284467,15.7749507803,1267.0,214.357904965,45.6294292004,443.0,72.8958229553,15.2798416348,0.0,0.0,0.0,0.0,0.0,0.0
26,0.15,7,359.935003657,275.793127153,649.650395794,563.0,72.253012362,15.8145616798,1203.0,197.990373206,41.9836634284,480.0,83.6603992001,18.5614919572,32.0,3.2,0.32,205.0,2.90839820473,0.0532165561521
27,0.0,12,360.132987981,322.954225837,582.530795628,573.0,67.8366271935,14.0260135683,1300.0,219.147675934,47.1289003239,440.0,73.0700760018,15.6354004504,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,13,359.953553716,495.356296213,389.043597818,560.0,69.4513225042,14.3295860151,1249.0,211.361692946,45.2330841324,468.0,79.3352762983,17.0811910046,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,7,360.021980152,533.417014377,853.585828806,558.0,71.3101688614,15.7295073267,1313.0,215.664051027,45.3133817781,426.0,73.0698884038,16.1668728674,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,9,360.180935533,896.049881109,286.62642053,574.0,70.3117973625,14.7763367608,1344.0,228.933014679,49.2287863865,370.0,60.8147222599,12.8777643601,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,6,360.180172989,710.716765234,430.161468082,563.0,72.1024655075,15.6666488978,1311.0,226.765821348,50.4321874039,384.0,61.1387634757,12.7534914173,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,10,360.398395462,435.517694438,629.790847215,578.0,69.2461597368,14.6709360831,1396.0,235.846173805,50.0879531746,339.0,55.1167208937,11.4658942189,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,6,360.309939203,12.1762745963,757.025243274,562.0,69.6348003006,14.7516875991,1247.0,214.309065982,46.2478068846,453.0,76.0813247667,16.2048389335,0.0,0.0,0.0,0.0,0.0,0.0
34,0.15,10,360.41973142,574.153730813,153.343203593,564.0,68.2010549494,13.9464583449,1237.0,205.003687512,42.6773304931,475.0,79.6089701876,17.243702018,34.0,3.4,0.34,236.0,3.87663016954,0.0790005044583
35,0.15,6,360.137828727,91.9789988221,708.065861142,572.0,69.1464472382,13.7455742614,1121.0,184.918814567,39.0784541999,582.0,97.6402259958,20.671160789,40.0,4.0,0.4,238.0,4.31052789663,0.0969153561241
36,0.0,7,360.673622363,54.93698529,190.317837727,560.0,71.272899346,15.2903999724,1475.0,245.776122253,51.9819087151,265.0,42.9591081335,8.79525135018,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,17,360.112449625,588.913777072,531.225321929,564.0,72.7638825889,15.9226067285,1223.0,214.527669821,47.0823859911,433.0,72.8130406841,15.0202022319,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,7,360.027361666,492.937235636,807.170344004,565.0,67.8084178756,13.6059637048,1218.0,206.937178222,44.0701767367,487.0,85.4530727407,18.4412200098,0.0,0.0,0.0,0.0,0.0,0.0
39,0.15,3,360.402683488,212.259290052,810.658009603,565.0,69.8449362315,14.8795647353,1242.0,209.403297597,44.5493798165,427.0,73.3938521038,16.2787489325,38.0,3.8,0.38,221.0,3.61793132262,0.0789668116264
40,0.0,9,360.226801456,524.464458457,789.76811866,579.0,68.8549265504,14.0760269342,1454.0,248.546681625,53.5380715212,245.0,42.8843017629,9.16709947601,0.0,0.0,0.0,0.0,0.0,0.0
41,0.15,10,360.014033189,169.105871224,470.498028782,580.0,68.9086211363,13.9707861648,1270.0,211.525142591,44.815721998,461.0,73.1749479761,14.9783112358,32.0,3.2,0.32,200.0,3.20808764434,0.0639701332082
42,0.15,3,360.351188415,679.944091405,822.478662713,571.0,69.1797466425,14.4291238141,1224.0,204.637007919,43.6604721494,477.0,79.3360175156,17.1713913397,32.0,3.2,0.32,213.0,3.70221207633,0.0789043007099
43,0.0,10,359.843248109,169.794977993,244.027010846,557.0,71.7317064999,15.3440111873,1419.0,233.220381323,49.1555745033,331.0,55.0624252057,11.7537551611,0.0,0.0,0.0,0.0,0.0,0.0
44,0.15,7,360.499463456,890.567145899,491.415382018,564.0,69.0305930047,13.5119152873,1241.0,211.649644259,45.0369185903,436.0,73.1491096401,15.5310705628,28.0,2.8,0.28,216.0,3.60167059402,0.0755032321816
45,0.0,9,360.247762663,424.828831769,891.967754869,552.0,69.1738253711,14.7117770123,1315.0,223.511812043,48.0122980964,387.0,67.3590190873,14.8416340845,0.0,0.0,0.0,0.0,0.0,0.0
46,0.15,11,360.254967983,523.117968836,240.301316383,582.0,70.1318677235,13.9533503364,1254.0,208.501669503,44.0616732395,438.0,74.0247628083,16.1832422994,38.0,3.8,0.38,238.0,3.58892634748,0.0663424945784
47,0.0,7,360.375395985,68.493124637,894.961614986,582.0,69.9767820345,13.4856284042,1375.0,235.013128767,51.3065676429,334.0,55.0268992373,11.4984262429,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,8,360.411413039,448.535403533,594.276667171,568.0,72.6919294315,15.5819212149,1114.0,188.829266603,40.6930278433,584.0,98.5899356708,21.1046416028,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,7,360.453428969,857.322817654,213.045055072,557.0,68.1855985957,14.4044581028,1417.0,236.651458819,50.2244471536,313.0,55.4290481564,12.2828706254,0.0,0.0,0.0,0.0,0.0,0.0
