id,probability_maraud,successful_mating,next_foraging_time,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.15,8,360.065778636,57.8593590944,376.374410182,572.0,73.6461822819,15.7372955742,1069.0,182.426777743,38.857537731,589.0,98.5459095611,20.6325222619,26.0,2.6,0.26,172.0,2.81659233446,0.0594171107451
1,0.15,10,360.166928426,396.328128765,324.683672757,565.0,71.2014763157,14.0682894518,946.0,160.182180142,34.6853757426,736.0,124.650479365,26.9926491275,18.0,1.8,0.18,165.0,2.41198256344,0.0414046172705
2,0.15,3,359.998753224,354.686988798,505.943893529,556.0,72.9180509138,15.1927322262,939.0,160.722772127,35.0047986544,711.0,122.541645955,26.4677118188,17.0,1.7,0.17,159.0,2.20768411572,0.0388138499679
3,0.15,6,360.17669272,775.935976305,580.503516876,564.0,69.3380858006,14.1311515749,1343.0,226.06938472,47.6612251725,346.0,57.2770315744,11.9467507832,31.0,3.1,0.31,243.0,4.32304777284,0.094611838277
4,0.0,12,360.170589976,339.338194589,440.918722536,569.0,70.2872199601,14.7466561067,1090.0,183.345917668,39.0484033592,625.0,106.420669974,22.8209052926,0.0,0.0,0.0,0.0,0.0,0.0
5,0.15,11,360.205455749,436.055736998,70.2912387248,562.0,69.739435499,14.1594598899,1123.0,193.40781647,41.9326921431,519.0,90.5910986759,20.1059931239,28.0,2.8,0.28,215.0,3.58848231028,0.0738432076366
6,0.15,10,360.325758169,311.293717138,676.728273699,574.0,68.4409752518,13.9285399311,1265.0,212.861379442,45.576094947,419.0,72.3019867283,15.6391845561,33.0,3.3,0.33,225.0,3.21617135809,0.0583306819296
7,0.15,6,360.200873393,849.763023902,748.16625281,571.0,70.9859950094,14.7972634157,1212.0,208.244782075,45.1700231187,441.0,73.4952129641,15.6158492072,33.0,3.3,0.33,202.0,4.0227224391,0.0994958344306
8,0.15,11,360.096807649,463.106746982,184.963582068,571.0,71.3101031409,14.6678896961,1074.0,178.682512694,38.1768204148,615.0,104.657856589,22.3604678491,25.0,2.5,0.25,184.0,3.12780207968,0.0637007205075
9,0.15,8,360.189146096,638.627712299,243.802141417,570.0,70.7912822906,14.3887303514,1028.0,167.901790076,34.4193932154,665.0,115.711766754,25.1684244422,30.0,3.0,0.3,182.0,2.72955000875,0.0510184391941
10,0.0,14,360.540388101,163.774663802,444.018688204,556.0,70.8462596885,15.5864393118,1046.0,182.293231204,39.5213257745,634.0,106.941351625,22.7094494379,0.0,0.0,0.0,0.0,0.0,0.0
11,0.15,6,359.984500509,155.906553994,101.775233654,563.0,71.1520234443,15.1720951325,1098.0,187.997441082,40.6849195313,569.0,94.9062837233,20.2969772791,25.0,2.5,0.25,201.0,3.66297134058,0.0824267196284
12,0.15,9,360.178507167,657.57060153,216.160009319,570.0,70.9420704143,15.223165453,977.0,164.716322805,34.9954287913,693.0,119.164070728,25.9071448392,23.0,2.3,0.23,189.0,2.92545201384,0.0567679934969
13,0.15,14,360.10227036,52.8094184167,223.382607801,570.0,71.2829954553,15.3568947576,1176.0,192.779402061,40.7288158472,555.0,90.1202337595,18.7336531218,23.0,2.3,0.23,208.0,3.62649495242,0.0791593340713
14,0.15,9,360.363552223,851.174920099,107.649225647,580.0,73.8797343624,15.7441112659,1279.0,217.167105732,46.0745881989,366.0,61.3464923655,13.1577807285,31.0,3.1,0.31,220.0,4.56159143165,0.11942590168
15,0.0,10,360.443675767,818.212416929,389.775353114,575.0,68.3195702725,14.098777982,1261.0,209.359050692,43.9128017777,484.0,82.5047957985,17.7693013628,0.0,0.0,0.0,0.0,0.0,0.0
16,0.15,12,360.128980663,170.101665319,690.654954831,559.0,73.1420075845,16.4023563245,1001.0,175.429712546,38.7219570632,602.0,106.491983081,24.0138508893,23.0,2.3,0.23,171.0,2.7033173504,0.0532147853253
17,0.15,13,360.294523727,346.716023029,601.595355684,569.0,72.7029790831,15.7190963603,1062.0,179.058873458,38.5997712527,601.0,102.979399086,22.2867181401,25.0,2.5,0.25,198.0,2.83993337215,0.0501892251786
18,0.0,12,360.130606613,245.730792455,428.224132809,568.0,69.3649760781,14.4399855797,1228.0,207.26823444,44.6913838856,489.0,83.5512339933,18.1346324321,0.0,0.0,0.0,0.0,0.0,0.0
19,0.15,13,360.509353206,876.117914956,759.71620432,572.0,72.2745090913,16.0365022872,1293.0,215.617588693,44.8614410842,391.0,65.7568868534,14.0731047361,29.0,2.9,0.29,190.0,3.59026804873,0.0892935786843
20,0.0,6,360.165851429,144.243899509,148.156155635,565.0,72.5651492818,15.822535585,1252.0,209.428335676,43.4468865206,450.0,78.0720280352,16.9228836858,0.0,0.0,0.0,0.0,0.0,0.0
21,0.15,11,360.264804993,51.5226813715,587.304506143,570.0,73.6301180077,16.1062998236,1125.0,187.38608506,40.161842065,569.0,94.0467246027,19.8262203009,25.0,2.5,0.25,172.0,2.74808917158,0.0592802005506
22,0.15,5,360.378914344,642.839822015,35.331740532,565.0,69.5742816905,14.4810491542,1145.0,197.052472979,42.2213660313,509.0,86.2400106639,18.5147532284,27.0,2.7,0.27,227.0,4.46009003363,0.109805944548
23,0.15,6,360.905133189,37.101019641,303.067204279,560.0,71.4082897387,14.9807285789,1219.0,207.031127508,45.0820301312,446.0,75.6388067917,16.1731694421,28.0,2.8,0.28,206.0,3.41951651154,0.0741682825072
24,0.15,8,359.89049507,732.459582827,546.568355795,574.0,70.2104896397,14.5243005775,1060.0,178.310530871,37.8437978068,638.0,106.591299938,22.7479444596,17.0,1.7,0.17,190.0,3.20895042708,0.0654228936779
