id,probability_maraud,successful_mating,next_foraging_time,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.15,10,360.134053884,250.467590901,443.663934097,569.0,72.7516037671,14.9169897143,858.0,150.779780922,32.9961923282,820.0,133.754550417,27.8196133794,10.0,1.0,0.1,126.0,1.79537024337,0.0302218636202
1,0.15,4,360.137094547,4.17463456103,817.233771533,563.0,71.2774808266,14.0534003079,1084.0,185.988536113,40.1842191208,568.0,98.0553664967,21.2925028063,17.0,1.7,0.17,161.0,2.99400498026,0.0756378909463
2,0.15,9,360.139186947,108.538223313,298.131209537,563.0,70.5042728738,13.759741084,1090.0,186.665265049,40.618534038,582.0,98.2459582383,21.142278557,21.0,2.1,0.21,175.0,2.60306282814,0.0515037832447
3,0.15,8,359.933993667,165.104851342,618.86692683,565.0,66.6562313825,12.9403710037,959.0,161.482453622,34.7359255313,730.0,125.880008222,27.2057754055,29.0,2.9,0.29,195.0,3.13585952512,0.0635693475983
4,0.15,5,360.144617328,825.442610968,184.203355658,562.0,72.4147002108,16.3105435671,1045.0,173.572951389,37.0944370684,623.0,109.604864998,24.6663238593,13.0,1.3,0.13,164.0,3.18024570731,0.0783341109291
5,0.15,8,359.849833927,96.9221201108,826.885184129,568.0,70.8251840421,15.4098037285,1096.0,191.360751228,41.9124026821,521.0,91.7521826688,20.0390845792,29.0,2.9,0.29,199.0,3.28869432173,0.0747556330943
6,0.15,8,359.819140527,229.519613988,199.608464564,575.0,70.9649289361,15.5445245153,985.0,167.77962503,36.0285251745,676.0,117.184000747,25.6316018231,13.0,1.3,0.13,175.0,2.80561381286,0.0588996001789
7,0.15,7,360.230812227,794.885531229,38.5371808646,570.0,72.9355012954,15.166723712,1247.0,206.921846534,43.7729264083,433.0,72.8701971246,15.5674815874,30.0,3.0,0.3,214.0,4.32126575151,0.111953457853
8,0.15,10,359.94697375,545.877128386,847.991704558,579.0,69.1164441769,13.8406447899,1031.0,176.376177304,38.0202525635,649.0,110.046085313,24.0947903478,19.0,1.9,0.19,157.0,2.86313527712,0.0645006731131
9,0.15,10,360.403909288,7.38361107747,811.581936548,585.0,66.1772893512,12.7575355613,969.0,166.033735429,36.0552232167,738.0,122.072605379,25.3216645355,29.0,2.9,0.29,162.0,2.87759385278,0.0667803960334
10,0.15,6,360.008327171,598.30273886,215.482710804,560.0,68.8923133858,14.6254317663,922.0,152.258561349,31.7899437841,776.0,134.251421354,29.209226856,21.0,2.1,0.21,154.0,2.54434698027,0.0518423928832
11,0.15,8,360.121828327,636.359762406,595.690736502,582.0,73.3890816135,15.664423427,849.0,142.285979502,30.2251126462,833.0,139.955354858,29.5861520467,21.0,2.1,0.21,135.0,2.29291966172,0.0454950307557
12,0.15,8,360.324253737,113.17280768,858.007723351,565.0,72.6412516095,15.9684533232,968.0,167.789874958,36.7205378571,703.0,113.767715603,23.825943327,29.0,2.9,0.29,175.0,2.97164937915,0.0721529668428
13,0.15,9,360.500012255,524.939036259,300.585092416,561.0,73.9622585669,16.0109470771,799.0,134.238834325,28.8728054814,875.0,148.485046891,31.9202312838,15.0,1.5,0.15,132.0,2.07992883313,0.038696911692
14,0.15,10,360.085041762,389.402404887,620.946430781,563.0,68.3286779651,14.8609179881,954.0,158.076421533,33.4509344727,771.0,128.691315429,27.571625284,24.0,2.4,0.24,168.0,2.59050035763,0.0466124967538
15,0.15,11,360.132448775,549.249209827,835.740436216,562.0,69.1738142773,13.6946267082,970.0,163.626493402,35.1060419354,734.0,122.104520078,26.2182580595,19.0,1.9,0.19,190.0,3.34760982178,0.0721545350969
16,0.15,15,360.330928218,17.1768175925,403.110034987,561.0,73.8940368076,16.5997554205,1142.0,192.801696629,41.4884211205,532.0,88.5292811809,18.6785884431,20.0,2.0,0.2,174.0,2.94096319397,0.0621790215321
17,0.15,10,359.979654478,457.437710202,846.965950912,555.0,74.1243007802,16.153083133,814.0,135.627044305,29.0717769607,856.0,146.393435548,32.0518449109,16.0,1.6,0.16,142.0,2.30614262614,0.0457296598848
18,0.15,9,359.95344678,196.367035829,143.066172179,577.0,71.3976588965,14.4765026535,925.0,155.162676592,33.1148283588,750.0,127.853374168,27.8018673245,27.0,2.7,0.27,173.0,3.08547112612,0.0704945139029
19,0.15,8,360.497594371,256.199706166,777.329224283,560.0,72.8371812712,15.7794109871,909.0,147.496208513,30.820656547,798.0,134.053956285,28.7449551116,30.0,3.0,0.3,188.0,2.68127709242,0.0530996811128
20,0.15,11,360.026264783,159.779674495,311.563463991,569.0,69.96558586,13.7300744097,942.0,162.173011487,35.8036752307,698.0,122.784316176,27.0112432388,28.0,2.8,0.28,165.0,2.39411236618,0.0444334672293
21,0.15,5,360.093162309,267.328332394,500.276971586,562.0,69.9493869014,14.0074427626,888.0,146.252211807,30.8994487937,823.0,140.620190688,30.2431746642,13.0,1.3,0.13,134.0,1.93552781339,0.0326585827769
22,0.15,6,359.998996909,708.33542421,879.042871725,563.0,69.1749529627,13.6342887751,1045.0,174.711647911,37.2252973789,659.0,110.242753884,23.3210515619,24.0,2.4,0.24,188.0,3.66802514015,0.0908260597678
23,0.0,9,360.289783365,45.5430354762,585.423405896,567.0,73.081168848,15.0005589034,1144.0,188.579225774,39.5904070257,590.0,98.3450649287,21.1553300274,0.0,0.0,0.0,0.0,0.0,0.0
24,0.15,7,359.965547836,703.196137652,871.210278926,565.0,74.1778520606,16.1305187375,1020.0,168.869170545,35.9533627538,642.0,110.219597603,24.1323176195,28.0,2.8,0.28,197.0,4.02947483564,0.102273244982
25,0.15,4,360.718608684,860.268195632,21.4190584986,565.0,73.2657226817,16.1961177099,1225.0,201.073640128,42.1225846618,461.0,79.3513453959,17.1642206111,19.0,1.9,0.19,206.0,4.640303802,0.13146993247
26,0.15,8,360.015758381,822.47243321,40.4971717439,576.0,67.9839623193,14.4135429261,1123.0,187.536455857,39.4112968425,583.0,98.5338085411,20.6552036854,23.0,2.3,0.23,187.0,3.71941223343,0.0988844838213
27,0.0,8,360.327460307,604.000721948,269.848191789,569.0,67.6069428266,13.4864241866,1044.0,176.041753681,37.63022555,713.0,116.535961555,24.4517726348,0.0,0.0,0.0,0.0,0.0,0.0
28,0.15,13,360.351186644,289.299954818,832.81305362,560.0,72.726331625,16.2909174974,920.0,154.982287558,33.561724481,742.0,127.919653819,27.9495320987,21.0,2.1,0.21,151.0,2.4447615743,0.0552190755404
29,0.15,9,360.412970991,127.527297617,714.048349464,568.0,71.1146540378,14.5549693119,1028.0,173.281414392,36.7232024575,641.0,110.99732491,24.5812020809,20.0,2.0,0.2,182.0,2.60991566841,0.0515013439461
30,0.15,12,360.130663619,215.069496334,826.541218956,571.0,66.4497481094,12.7243571119,1080.0,184.768312686,40.0497093654,621.0,103.973584025,22.2146008427,20.0,2.0,0.2,198.0,2.96349115305,0.0633838547674
31,0.15,18,360.241514143,292.817025903,414.374813028,570.0,71.9685869993,15.4496095864,997.0,168.629873191,36.0140623932,673.0,115.646009651,25.4285102398,13.0,1.3,0.13,177.0,2.51974071875,0.0435190538461
32,0.15,14,359.905047655,391.000148936,518.027220608,555.0,71.8547830753,15.714445747,829.0,145.682746362,32.1275263763,828.0,138.877380187,29.0584597528,12.0,1.2,0.12,160.0,2.39746843251,0.0417344388662
33,0.15,2,360.08405282,714.683771286,776.571347969,547.0,72.4842779517,15.6415237009,864.0,142.178123875,30.1630512841,826.0,139.899019563,30.0059237574,24.0,2.4,0.24,170.0,3.12932572332,0.0689689398224
34,0.15,8,360.390764123,217.039579908,868.235827982,568.0,73.6506404279,16.3895663733,1041.0,178.019176438,37.987693549,599.0,103.898386927,22.9290563596,18.0,1.8,0.18,181.0,2.7885559984,0.0623947299414
35,0.15,18,360.24300564,65.3195276585,563.792969964,568.0,67.383045459,13.4470622878,912.0,153.885902649,32.7778454264,825.0,134.361986011,28.1994037848,23.0,2.3,0.23,159.0,2.29062954807,0.0418803676047
