id,probability_maraud,successful_mating,next_foraging_time,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,4,360.092960261,754.496412628,756.397076213,562.0,70.4163739452,15.3443944869,977.0,166.802410906,35.4221305828,718.0,122.807531499,26.372761171,0.0,0.0,0.0,0.0,0.0,0.0
1,0.15,11,360.184108826,675.834238284,459.251931908,565.0,71.4133217515,15.2351636201,1008.0,166.786387074,35.0236134021,683.0,115.879976792,24.4917087667,28.0,2.8,0.28,204.0,3.16194726221,0.0591710578336
2,0.15,5,360.531980262,858.057157859,279.673920931,567.0,73.4597844446,15.6662914658,988.0,169.130164464,36.3109919639,641.0,111.570520434,24.2880214897,23.0,2.3,0.23,196.0,3.71875684788,0.0859934352051
3,0.15,11,360.397543902,23.5526773623,199.505014873,575.0,69.0734387754,14.2560144445,1031.0,174.399469184,37.4966376314,664.0,110.824614688,23.7609911346,21.0,2.1,0.21,200.0,3.62306645414,0.083380158263
4,0.15,6,360.206955207,390.03896176,828.002865412,576.0,69.4504325026,14.1988451757,1063.0,175.464770219,37.0026052162,628.0,109.842804213,24.1993996604,23.0,2.3,0.23,186.0,3.03243060188,0.0642507253293
5,0.15,7,360.135199861,30.831557635,78.2514033708,569.0,71.2253572344,14.9164455993,1225.0,202.641113303,42.5387481769,465.0,79.6709631384,17.0793383902,24.0,2.4,0.24,202.0,4.28786297463,0.115220323254
6,0.0,17,360.174182083,43.6659865624,358.469608054,576.0,70.6164834806,13.8953545485,1244.0,209.862283445,44.3182675064,479.0,79.5370302134,16.868861103,0.0,0.0,0.0,0.0,0.0,0.0
7,0.15,5,360.575708127,213.214753361,37.9029910945,577.0,70.8802588181,13.7587224763,846.0,143.049349274,30.8187207085,834.0,140.649533314,30.157428293,25.0,2.5,0.25,171.0,2.99151577705,0.0714054070452
8,0.15,5,360.201050355,679.006338026,377.868682998,577.0,70.9480695574,14.198229979,789.0,132.497296056,28.4368327797,922.0,152.467017717,31.954959859,20.0,2.0,0.2,135.0,2.17693956209,0.0410442130645
9,0.15,17,360.261228369,220.626963963,96.0837029069,567.0,69.1525764995,13.9894496644,965.0,165.618581713,36.0200156228,719.0,119.890688678,25.9624976606,22.0,2.2,0.22,187.0,3.21207682343,0.074206233709
10,0.15,13,360.146330745,342.567877861,485.063728433,555.0,72.9821605263,15.3953027511,857.0,147.806551038,32.180710682,801.0,133.889127583,28.0483990052,32.0,3.2,0.32,167.0,2.32286432581,0.0394092758207
11,0.15,8,359.969702627,308.76308789,476.130090408,566.0,74.8588968141,17.2145346996,893.0,153.524282016,33.2771152228,783.0,128.23313981,26.9935060932,18.0,1.8,0.18,120.0,1.69077583462,0.0300488447374
12,0.15,5,359.962247933,271.363019473,105.471492233,579.0,70.5144924763,14.2495192874,1088.0,180.475212614,37.9789761167,614.0,103.313294208,22.1821607718,24.0,2.4,0.24,203.0,3.3211011305,0.072938486673
13,0.15,12,360.481692557,626.536075972,565.811959896,570.0,69.6111539281,14.1939424615,908.0,148.427911398,31.2634214384,809.0,137.279362598,29.2937134471,23.0,2.3,0.23,174.0,2.50639926737,0.0444059074533
14,0.15,9,360.240365846,228.677126396,456.917328836,560.0,69.1181773418,15.4852937727,913.0,158.280104651,34.5393581243,734.0,128.045330034,27.891921755,22.0,2.2,0.22,160.0,2.3610969106,0.0437967651627
15,0.15,3,360.100874648,479.524733471,680.503495491,563.0,71.8434335007,15.4916124207,897.0,148.128440669,31.5592485195,802.0,136.27074435,29.0364988997,16.0,1.6,0.16,160.0,2.29077704002,0.0406898378709
16,0.15,4,360.0116969,819.984249097,865.193052706,562.0,69.2712571193,14.4140660104,1085.0,192.528020881,42.2246987626,534.0,91.7736779441,19.6389453188,22.0,2.2,0.22,214.0,4.32079099966,0.111446967238
17,0.15,7,360.536809359,545.250219673,781.814781498,569.0,68.7816677878,13.8273035906,989.0,164.728735407,35.2496987843,714.0,122.093348881,26.1170135025,22.0,2.2,0.22,154.0,2.35526411711,0.0449269935847
18,0.15,8,360.448616126,136.582038017,676.736440097,560.0,73.8742174986,15.582500072,782.0,135.30321291,29.0890872296,863.0,146.520772155,31.433075021,19.0,1.9,0.19,141.0,2.41141573083,0.0503586151276
19,0.15,14,360.145679723,320.03953831,556.099297691,572.0,70.5043308551,15.3366614614,801.0,134.902161301,28.7267075914,905.0,151.951137366,32.7209840776,12.0,1.2,0.12,117.0,1.64285944219,0.0300393827727
20,0.15,6,360.222481955,345.999508043,64.1310621955,561.0,70.8948277252,15.3094103189,911.0,156.733541618,33.8213489673,784.0,128.13244094,26.7966398604,16.0,1.6,0.16,165.0,2.66005743657,0.0554073426387
21,0.15,18,360.409690542,317.7371102,373.31016199,553.0,70.152382326,14.2767494821,859.0,146.04882732,31.3285806603,824.0,139.720433069,30.1625585514,20.0,2.0,0.2,146.0,2.09749523466,0.0360063568946
22,0.15,7,360.120722208,313.865985043,60.3601851888,563.0,70.7019097971,13.9675903876,870.0,148.76269755,32.3753416848,816.0,134.945218597,28.2135780215,31.0,3.1,0.31,146.0,2.61438255458,0.0566760019688
23,0.15,8,360.221053511,429.91618824,117.895877858,569.0,73.7439732688,16.4403319231,970.0,165.439350894,35.4398990843,671.0,115.586639068,24.9879524502,25.0,2.5,0.25,171.0,2.95449439604,0.0610962643896
24,0.15,6,360.333500295,881.540009022,135.485875005,563.0,71.0763351994,14.7897989384,1079.0,185.026341459,39.8580101192,572.0,98.064722995,20.9469132499,22.0,2.2,0.22,177.0,3.76943344902,0.0977506948172
25,0.15,7,360.224975639,371.526558885,834.724457515,557.0,70.8837651888,14.9126309301,1004.0,170.358221109,36.4610835566,651.0,112.879100505,24.4184488789,28.0,2.8,0.28,191.0,3.10618634863,0.0655493363983
26,0.15,3,359.962132214,629.387135701,504.943347012,556.0,75.5624847395,16.8161566647,706.0,122.485807257,26.4968422035,961.0,158.460931272,33.297469872,14.0,1.4,0.14,148.0,2.19486748979,0.0387967781931
27,0.15,5,360.134303996,161.830571291,166.381245017,553.0,67.8733900735,13.1983837056,976.0,164.678472814,35.7373513729,734.0,122.834544859,26.2798472071,21.0,2.1,0.21,173.0,2.52231170412,0.053062126075
28,0.15,9,360.030579306,203.41501244,710.019347099,571.0,69.3163005463,14.4286366688,1038.0,175.75405255,37.8127323901,659.0,109.510843853,23.5349061599,24.0,2.4,0.24,182.0,3.08772691271,0.0659769478169
29,0.15,10,359.895216843,621.637085653,551.633336565,558.0,71.1596980695,15.3572938502,825.0,143.597788862,31.45016368,810.0,140.904040694,31.0074460518,19.0,1.9,0.19,168.0,2.51424400028,0.0447298934918
30,0.15,16,360.108104072,183.228859779,527.282652724,567.0,74.3251714483,16.8865052171,923.0,153.231134316,32.2787897804,750.0,128.419595441,27.6231896956,16.0,1.6,0.16,156.0,2.45264456227,0.0477201903642
31,0.15,7,360.257432218,893.616966297,163.562854514,564.0,68.4502050726,13.7247418619,1096.0,187.230228776,40.3642481954,582.0,98.2163754409,21.0987723056,24.0,2.4,0.24,180.0,3.84705827018,0.0997329481492
32,0.15,10,360.516083053,896.486849911,387.138482639,566.0,73.4581274166,16.0309657414,1070.0,179.784563987,38.4633224705,591.0,100.895609666,21.7761774929,24.0,2.4,0.24,183.0,3.52769756303,0.0813067720497
33,0.15,12,360.411942555,683.307593311,21.8679320045,560.0,74.3081784175,16.7457423297,988.0,170.046611956,36.8694125972,667.0,110.336519216,22.8796830588,20.0,2.0,0.2,171.0,3.40417873909,0.0794814022141
34,0.15,14,360.056939242,702.76945361,699.521019117,551.0,71.5658476283,15.1389632722,1089.0,186.453280247,40.5672850284,578.0,97.2424426602,20.4703415389,20.0,2.0,0.2,172.0,2.75669386416,0.0565023845476
35,0.15,13,360.13874406,226.451583314,721.687838559,562.0,67.3253985695,14.2472910953,1055.0,178.400428374,37.8139709327,633.0,107.791530432,23.6139476554,31.0,3.1,0.31,205.0,3.43134694866,0.0712595150997
36,0.15,9,359.996732575,299.576986312,783.540718249,561.0,68.4087234852,13.3878694217,927.0,161.696682986,35.4664156063,731.0,126.17556387,27.5849323229,16.0,1.6,0.16,137.0,2.29018223796,0.0494607234878
37,0.15,15,360.162559019,711.189120324,270.301468366,554.0,72.1617668102,15.8650176382,795.0,131.159197901,27.5552127399,900.0,152.238911024,32.3036294363,19.0,1.9,0.19,149.0,2.58680047808,0.0516284157762
38,0.15,8,360.74718752,891.16544575,502.306428127,582.0,69.2001547183,13.9612835998,1019.0,169.468854341,35.3042686645,692.0,115.853120366,25.251117751,23.0,2.3,0.23,180.0,3.26291617556,0.0726745169665
39,0.15,8,360.033181546,434.281193223,334.807491561,557.0,71.1513940236,15.22294776,910.0,150.401421641,31.6759894321,791.0,134.759238069,29.3171419538,17.0,1.7,0.17,145.0,1.98997002407,0.0337457791036
40,0.15,7,360.188700133,230.455840296,195.533896853,585.0,71.4584764154,15.0968023117,971.0,155.963984553,32.2874492756,759.0,128.014540311,26.9916145097,21.0,2.1,0.21,156.0,2.47376907782,0.0544533195886
41,0.15,11,360.265566414,383.937640796,631.295400458,570.0,70.3364190107,14.352529171,793.0,132.746873577,28.7713697892,922.0,153.246552276,32.5626590552,16.0,1.6,0.16,149.0,2.18022867007,0.0395549716464
42,0.15,7,359.995480882,141.085537395,299.463808737,563.0,68.7570501516,13.7178976196,713.0,118.481423533,24.6402584807,996.0,168.503893154,36.2266909762,23.0,2.3,0.23,137.0,2.11924211578,0.0429771211458
43,0.15,3,360.042338104,296.711788312,783.131391164,560.0,66.8780887269,13.2306688858,791.0,130.199146923,27.3381010732,946.0,158.568490862,33.7412719135,20.0,2.0,0.2,147.0,2.35645317477,0.0489315713454
44,0.15,13,360.093332933,83.6759011818,311.634228453,564.0,75.6087207806,16.1222460627,864.0,145.667996405,30.7694266102,791.0,134.369543338,28.9965393311,19.0,1.9,0.19,150.0,2.47843759941,0.0525881398092
45,0.15,5,360.43590654,643.108361639,787.970379462,571.0,70.8998624722,14.1852857121,903.0,156.324502508,33.3921779429,764.0,128.928166042,28.0207845393,16.0,1.6,0.16,146.0,2.41650861823,0.050790185269
46,0.15,8,360.723830458,189.927519775,733.00207237,566.0,70.5643409641,14.8382019891,1103.0,184.158537951,39.0291846516,580.0,99.8850484945,21.2539380552,22.0,2.2,0.22,189.0,3.29568572497,0.073212133273
47,0.15,11,360.287788513,530.458362346,402.796542677,567.0,68.2856350019,14.0011426785,822.0,137.423257193,29.3510957654,893.0,150.027128188,31.6381125336,21.0,2.1,0.21,152.0,2.20331217511,0.038427027478
48,0.15,14,360.262535614,645.704981479,637.805064704,570.0,72.3613783228,15.5249345334,854.0,142.582321548,30.3541625393,844.0,140.793831189,30.067453417,19.0,1.9,0.19,166.0,2.55945334869,0.0490999774163
