id,probability_maraud,successful_mating,next_foraging_time,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.15,13,360.542044822,457.107689685,1366.72988373,576.0,69.9491955674,14.234313747,1001.0,168.251873008,35.8285200695,667.0,115.618743735,25.4254827253,26.0,2.6,0.26,175.0,3.58438686853,0.0919282097073
1,0.15,6,360.321731005,5.44238330094,261.421628453,562.0,76.0529353667,17.94577523,1042.0,183.238100061,40.0515705907,568.0,95.0375051628,20.4348739159,28.0,2.8,0.28,155.0,2.96556407283,0.0724038584063
2,0.15,11,360.011864563,749.745724946,1487.33481139,573.0,67.7352038744,13.9266492779,1014.0,172.167663989,37.2000834921,666.0,112.889366594,24.6473573862,32.0,3.2,0.32,163.0,4.10441623135,0.11536660034
3,0.15,8,360.354892138,1906.30819293,676.691936784,568.0,73.6995754369,16.1199861848,1121.0,187.052395559,40.0739631494,560.0,93.6116572387,19.6892663902,22.0,2.2,0.22,188.0,3.50730271523,0.0887519168056
4,0.15,6,360.195953227,159.592000254,253.813810529,559.0,66.009094995,13.1505774977,1116.0,193.363736674,42.1068337307,562.0,94.5574421227,20.6603910707,22.0,2.2,0.22,209.0,3.94133718754,0.100641228599
5,0.0,14,360.304387785,1101.12159076,1968.2332619,572.0,67.1320979873,12.4281754026,1122.0,182.96337362,38.5657216641,637.0,109.997599184,23.7410373276,0.0,0.0,0.0,0.0,0.0,0.0
6,0.15,5,359.930168772,2000.22836392,213.942587652,577.0,70.7461288233,14.1023330775,1103.0,188.210002373,40.3949009588,558.0,94.3722369927,20.0866287308,25.0,2.5,0.25,193.0,4.38237203766,0.123081566098
7,0.15,11,360.503479984,521.779161268,1132.67568476,563.0,66.6653282133,13.2039768511,1023.0,175.77378485,38.3299351375,650.0,111.332495352,24.2750057913,27.0,2.7,0.27,173.0,3.66797925922,0.101986226137
8,0.15,11,360.07903476,2122.99053427,587.423163446,571.0,67.5072763657,13.6002095043,1155.0,193.468287093,41.3304078137,561.0,92.9126129672,19.5221369203,24.0,2.4,0.24,188.0,3.89537592633,0.106266888547
9,0.0,6,360.223594975,508.723814046,362.76432689,582.0,69.2661214505,13.5403380155,1084.0,179.38695886,38.2756258505,638.0,111.463928205,24.510418646,0.0,0.0,0.0,0.0,0.0,0.0
10,0.15,7,360.02699075,1906.90790476,717.516896773,564.0,68.0075231212,13.435621761,1121.0,187.415375701,39.5398183925,574.0,98.5896737334,21.608458403,25.0,2.5,0.25,200.0,3.61782490521,0.0863477412106
11,0.15,9,360.456929811,1812.69263545,512.158373654,568.0,75.0616154236,16.8529771868,997.0,164.103222791,33.8256563259,665.0,114.638600464,24.2815590818,31.0,3.1,0.31,173.0,3.17281802767,0.0781234851912
12,0.15,13,360.467735837,1090.05253086,857.55079441,560.0,70.4320945032,14.4200741717,1147.0,194.839474635,42.2112835828,509.0,86.2678388785,18.518834497,35.0,3.5,0.35,225.0,5.03978151672,0.141904444278
13,0.15,4,360.593291813,995.183482005,2026.25664763,576.0,71.4576714324,14.9482894366,1002.0,167.319906688,35.4538800106,712.0,114.797654522,23.7683239433,23.0,2.3,0.23,164.0,4.28222245776,0.137817386858
14,0.15,10,360.083216424,727.446504345,149.72004324,559.0,65.3316851488,12.2841635085,1110.0,189.007817219,40.5970337897,582.0,98.5179770026,21.213273732,28.0,2.8,0.28,197.0,4.41637421511,0.131477802677
15,0.15,13,360.174771795,274.297787194,882.468888651,568.0,73.3291494182,15.0473630804,1064.0,181.002612954,39.2468745305,586.0,98.7647839104,20.9414380496,27.0,2.7,0.27,205.0,4.25673274932,0.109988749564
16,0.15,12,359.894081042,2069.09298358,1244.01295465,558.0,68.5596895832,13.8778911672,1134.0,193.124214869,41.7539374075,523.0,90.933937905,20.3119328053,29.0,2.9,0.29,207.0,4.64692911978,0.127134167961
17,0.15,6,360.005190198,1394.14878211,1940.05904769,565.0,75.4298901927,16.9033887787,1010.0,171.642397244,36.8518884316,634.0,106.951425062,22.8568031612,21.0,2.1,0.21,181.0,3.97408068839,0.106797794637
18,0.15,10,359.96774104,103.706664324,532.270736427,561.0,69.0866120181,14.2952776252,1222.0,205.448629487,43.6124097728,448.0,77.7331299252,17.0167892255,34.0,3.4,0.34,221.0,4.36753527673,0.114738638325
19,0.15,6,360.661993121,1744.67628267,1270.95311199,567.0,74.2933442842,16.0089884739,1009.0,168.449188513,36.6086314294,671.0,110.965011102,23.3424981358,27.0,2.7,0.27,174.0,3.60019266329,0.0959991128797
20,0.15,7,359.938928982,98.0226853383,2223.21948166,579.0,70.0227236791,13.7731609504,1137.0,192.678645776,41.1546998338,534.0,90.4232861944,19.4120399796,30.0,3.0,0.3,194.0,4.01865903316,0.112595314072
21,0.15,20,360.499514077,1288.95810083,1064.36051,569.0,70.5062673185,15.1335335049,1044.0,175.161931279,36.7645144204,622.0,107.328487862,23.2978468775,31.0,3.1,0.31,194.0,3.93126863244,0.107313339138
22,0.15,6,360.304918634,1745.49105067,1961.35617772,566.0,68.7981688152,13.8004873376,1082.0,182.735066216,38.6414770703,590.0,102.469326065,22.2843004846,25.0,2.5,0.25,195.0,3.64698635112,0.0985917355107
23,0.15,6,360.14184028,1.87023182188,1370.18843537,559.0,69.3672160136,14.8446731715,1127.0,193.543162634,41.6867173266,524.0,90.3685397235,19.6944498322,30.0,3.0,0.3,163.0,3.73883052671,0.107023268156
24,0.15,10,360.027388832,1903.56414021,1383.99194784,566.0,70.5257058185,14.6797238377,1073.0,180.598617549,39.0242134758,595.0,102.910076531,22.456342109,29.0,2.9,0.29,157.0,3.12367814863,0.0818215888103
25,0.15,5,360.031577813,1302.23575812,268.154091942,564.0,72.4469825035,15.3913954253,1131.0,193.737514515,41.9789928092,503.0,86.5426722284,18.6238086147,24.0,2.4,0.24,190.0,5.00237435232,0.15152318672
26,0.15,10,360.15814219,1510.71759911,741.614737481,566.0,67.3491098986,14.2656478109,1039.0,176.875320387,38.1627414985,602.0,110.259359906,24.6983682588,23.0,2.3,0.23,176.0,3.44267071252,0.0817810859836
27,0.15,12,360.654171318,51.1300383811,866.18574441,573.0,71.3828394649,14.6702419084,1090.0,187.195837974,40.6326464109,557.0,94.2921482205,20.0501992998,27.0,2.7,0.27,199.0,4.54399235367,0.125033564027
28,0.15,12,360.004137461,1813.19347637,830.645079141,568.0,69.1056912216,13.8966367904,864.0,144.630765741,30.7279366756,859.0,142.827483249,30.1051656474,11.0,1.1,0.11,122.0,2.37972500605,0.0583922248797
29,0.15,15,360.314371445,313.376083384,1452.66820739,558.0,75.146296577,16.9137032906,1104.0,184.872109218,39.4835674498,566.0,94.280500205,19.692258392,22.0,2.2,0.22,184.0,3.51337515021,0.0862166402319
