id,probability_maraud,successful_mating,next_foraging_time,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.15,5,360.022679777,1239.20636778,84.0967679032,561.0,73.5697002855,15.2667543273,1291.0,218.227202713,46.8791311317,342.0,60.124318482,13.0895581754,24.0,2.4,0.24,222.0,5.81224975027,0.196827223609
1,0.0,13,360.372214789,674.048831253,1767.85076751,567.0,69.2083930319,13.6583291735,1091.0,187.947271934,41.1993767812,604.0,102.87758621,22.0295690354,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,6,360.470469649,1538.25177353,2144.29708262,566.0,74.0656543497,15.5874314109,1220.0,203.73940084,42.821545582,491.0,82.61130593,17.65422056,0.0,0.0,0.0,0.0,0.0,0.0
3,0.15,6,359.899871449,1773.27025125,2138.60551186,551.0,70.9521804976,15.8875606764,1265.0,219.740769435,48.1101090921,367.0,61.8535753678,13.550784965,30.0,3.0,0.3,225.0,4.51188114351,0.118687558882
4,0.0,5,360.520866002,1338.94602113,1462.36833694,578.0,70.2291809496,13.9995515816,989.0,169.991676146,36.5028599739,712.0,119.894695945,25.8649265671,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,5,360.430769667,82.4903746959,919.040805769,562.0,73.3057585908,15.9511552597,1489.0,248.896445684,52.9075566595,211.0,37.9612508014,8.41392333398,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,8,360.10363807,2134.08339297,341.594465915,565.0,70.1826919736,13.813996959,1213.0,203.267784907,43.3943893632,495.0,86.5691140234,19.0650943905,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,16,359.953857502,497.38589905,945.662496543,568.0,68.4775912041,13.2690365953,1266.0,217.714324191,47.3404918199,429.0,73.8472531098,16.1163440096,0.0,0.0,0.0,0.0,0.0,0.0
8,0.15,9,360.269728173,1962.08762389,1643.5431841,583.0,69.0133218547,13.4125489589,1174.0,201.106775005,43.5706427397,496.0,81.972538545,17.0349209267,29.0,2.9,0.29,218.0,5.11223975058,0.146317758289
9,0.15,7,360.037520652,696.107417893,758.193966475,577.0,71.0985477313,14.7406170184,1194.0,199.715379031,42.5187714453,470.0,82.3446571482,17.8268701148,28.0,2.8,0.28,215.0,4.29171787801,0.110028038262
10,0.15,3,360.404935554,287.388321298,1.89212703569,572.0,71.5397140724,15.9026502355,1347.0,227.179261702,49.0058225384,310.0,53.2771266406,11.5593101982,30.0,3.0,0.3,218.0,5.15184148889,0.148426921219
11,0.15,4,360.038339159,636.060862616,2008.12857511,566.0,68.3725891864,13.7158773157,1098.0,185.835586565,39.4692614636,570.0,98.8172469299,21.6163098782,29.0,2.9,0.29,197.0,4.10427374595,0.107272396849
12,0.0,8,360.369743356,188.629918629,1237.57708819,547.0,69.977456156,14.7561455138,1208.0,203.898530176,43.6144666974,492.0,86.1413420441,19.2290762802,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,11,360.010617333,1118.73115539,1818.58611667,562.0,68.7315268333,14.4410709206,1285.0,217.354573176,46.93809314,452.0,73.9841618775,15.716715816,0.0,0.0,0.0,0.0,0.0,0.0
14,0.15,4,360.514780729,544.260307895,2162.10076841,565.0,72.165646668,15.5986964672,1110.0,184.450770599,38.9703599902,572.0,94.3078764179,20.0204333353,41.0,4.1,0.41,214.0,5.08182365264,0.143190095634
15,0.0,11,360.14847356,1053.20066239,605.18440928,571.0,68.3154221214,12.8680940546,1133.0,195.841120362,42.9055944202,559.0,95.9597973023,21.1872953309,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,11,360.107348712,842.561791519,1800.88001166,567.0,70.6899655961,14.3472596626,1204.0,207.084381383,44.9709107326,485.0,82.2807289656,17.4132914344,0.0,0.0,0.0,0.0,0.0,0.0
17,0.15,18,360.743392268,864.381754513,677.23614039,585.0,67.1703707832,12.5365358369,1279.0,214.182111497,45.7301094517,419.0,69.6848871348,14.7346701943,45.0,4.5,0.45,230.0,4.70146498682,0.12615916241
18,0.15,13,360.024075457,680.645684838,492.25071958,575.0,72.8661783204,15.971775647,1163.0,196.791286562,42.2966830547,477.0,82.0119718795,17.4696958791,40.0,4.0,0.4,214.0,4.39491381315,0.109617558478
19,0.0,5,360.260500931,247.239987645,280.848911304,566.0,72.2402776438,15.8703961105,1388.0,233.501136366,49.9062561027,349.0,54.4731670902,11.0432469568,0.0,0.0,0.0,0.0,0.0,0.0
20,0.15,12,360.547471197,533.453287085,1111.18096464,570.0,72.3587566517,15.8439194259,1261.0,213.793028726,45.6887259292,390.0,65.1880077639,13.8211552018,38.0,3.8,0.38,224.0,4.914690711,0.132587725272
21,0.15,8,360.129387915,1219.97019133,762.274283684,576.0,70.726102299,14.2253452971,970.0,167.399904404,36.7823809214,700.0,115.867581731,24.2278788424,26.0,2.6,0.26,173.0,3.46226880573,0.0876021972574
22,0.15,9,360.475999197,514.087445488,1026.81014291,564.0,68.6987231532,14.1812337589,1180.0,201.601471728,44.079737437,466.0,82.7145722586,18.1826438701,35.0,3.5,0.35,191.0,3.77226887268,0.0985509101183
23,0.0,6,360.144092688,1373.75266153,1093.02902947,568.0,67.6573819073,14.7908432218,1240.0,210.478904045,45.4571515527,500.0,81.9670722111,17.1064113765,0.0,0.0,0.0,0.0,0.0,0.0
24,0.15,7,360.582198868,208.438438934,1777.42050478,567.0,71.605248251,14.6114669548,1180.0,196.53006043,41.8430793458,504.0,85.8086490641,18.6500801645,25.0,2.5,0.25,191.0,3.66338590948,0.101028754645
25,0.0,10,360.356396647,594.930897658,1217.00504627,563.0,74.73050239,16.5809856184,1195.0,207.406694031,45.2004876759,450.0,77.9237809283,17.2307743518,0.0,0.0,0.0,0.0,0.0,0.0
26,0.15,13,360.659801756,903.235515513,884.91480469,554.0,72.865923138,15.667156861,1119.0,189.282323431,40.6949599871,504.0,90.0645775625,19.9225328694,35.0,3.5,0.35,203.0,4.47570445222,0.120879088916
27,0.15,9,360.331712821,112.737806816,1139.08829436,555.0,72.8521200273,17.3997635066,1231.0,207.442204511,43.739897685,415.0,73.3611035457,16.1370507227,23.0,2.3,0.23,212.0,4.41329589932,0.123660913516
28,0.0,10,360.303897468,1827.472212,480.698226985,562.0,70.0987545382,13.9338293762,1144.0,196.354156154,42.4775709345,569.0,93.6022751806,19.5524506166,0.0,0.0,0.0,0.0,0.0,0.0
29,0.15,18,360.648341884,1436.58241531,827.803784689,561.0,70.4541702123,14.4858098447,1278.0,212.016890436,44.8593663954,424.0,69.9212042623,14.6270097122,33.0,3.3,0.33,209.0,4.34147106757,0.115593926178
30,0.15,11,360.211079887,1860.74933881,986.045460969,562.0,71.0707144287,14.7429331492,1132.0,194.206339566,41.5041183982,500.0,87.3654281373,19.2848653981,28.0,2.8,0.28,203.0,4.63061209551,0.123234207438
31,0.0,9,360.530895774,1291.58272784,66.0653984033,574.0,68.4885077767,13.3349107855,1328.0,226.266683689,48.7733722111,394.0,65.4556791359,13.6602435732,0.0,0.0,0.0,0.0,0.0,0.0
32,0.15,12,360.283384516,461.847555727,989.263890117,567.0,68.587186029,14.1745684378,1121.0,187.506710519,39.98566118,586.0,98.5223984411,20.948971809,22.0,2.2,0.22,186.0,3.2837120266,0.0823120850382
33,0.0,9,360.124949355,1321.92984351,1367.83001886,572.0,72.7752197876,15.2943319973,1234.0,205.220414318,43.0086340944,472.0,82.1478635657,18.0499386028,0.0,0.0,0.0,0.0,0.0,0.0
34,0.15,8,360.093937615,1096.98141068,1840.63822692,569.0,73.8314904579,15.3679999388,1192.0,204.453226089,45.1716837801,438.0,72.4975832469,14.8751682077,41.0,4.1,0.41,216.0,5.22225808679,0.155083464015
35,0.15,13,360.152994959,350.78937401,827.296250699,563.0,70.6569714151,14.3048550543,1116.0,187.818703952,39.9740869931,565.0,94.8882024591,19.7501325326,35.0,3.5,0.35,179.0,3.18177290242,0.074900050985
36,0.15,8,359.986156616,1932.32195207,205.815994798,580.0,71.966816233,14.674131571,1367.0,227.723899367,48.4753994537,322.0,52.8487645734,11.0594796623,33.0,3.3,0.33,228.0,4.21447151172,0.104840308334
37,0.15,7,360.383320862,2016.92195335,283.564100592,563.0,70.2108949449,15.4187516663,1179.0,196.851203081,41.3612814851,519.0,86.6527733584,18.2302899472,23.0,2.3,0.23,211.0,4.01877988637,0.112714173003
38,0.15,13,359.986401468,1581.96602386,1071.78603417,563.0,67.7367114655,13.7304517383,1346.0,228.018698071,48.6970125325,333.0,57.4582399477,12.4927913658,29.0,2.9,0.29,214.0,3.96294946513,0.09926772138
39,0.0,18,360.370359711,1502.72578085,1423.64442634,555.0,67.4815119236,14.5478250944,1325.0,222.521101179,47.484065777,391.0,70.2312095041,15.9907771976,0.0,0.0,0.0,0.0,0.0,0.0
40,0.15,9,360.186072522,1623.48260877,2071.9189927,572.0,72.9904172809,15.908813891,1243.0,207.458533264,44.1566691959,430.0,72.0420637217,15.318582853,33.0,3.3,0.33,216.0,4.29223685966,0.115949802051
41,0.15,5,360.183276528,2104.48325043,1249.56592892,562.0,70.0281755713,15.0509864388,1140.0,191.920762955,40.9297263741,539.0,90.0292633832,18.7248018213,35.0,3.5,0.35,194.0,4.62440511153,0.134390962632
42,0.15,3,360.357060181,2002.70105763,414.547855782,559.0,70.9702119245,14.2049978676,1267.0,207.487395992,43.1114228119,431.0,73.241122571,15.7277451532,39.0,3.9,0.39,236.0,4.56718687962,0.120968199103
43,0.0,7,360.179513356,224.700574277,400.280119013,559.0,68.7631718287,15.0029260039,1276.0,218.675259662,47.7354808795,444.0,72.5910649942,14.8437963725,0.0,0.0,0.0,0.0,0.0,0.0
44,0.15,4,359.909237885,2154.96929865,669.29026127,564.0,72.0176886104,15.3873664842,1180.0,198.216113974,42.1143371584,503.0,81.8039861798,16.9260541493,36.0,3.6,0.36,196.0,4.43005363932,0.119048160699
45,0.15,3,359.794395678,529.533289667,1768.46246861,563.0,65.6909640364,13.2913278559,1061.0,189.723564739,42.4463919504,570.0,98.6990615799,21.8475302861,22.0,2.2,0.22,182.0,3.73734390966,0.0983919356779
46,0.0,11,360.31518459,2218.02613467,881.942103071,564.0,67.8627038066,13.8445658783,1235.0,206.172525043,43.4303340297,493.0,86.0457808767,18.8012510408,0.0,0.0,0.0,0.0,0.0,0.0
47,0.15,4,360.214953346,2228.40135831,1132.91153477,571.0,69.4446961833,14.15177488,1254.0,211.107617825,44.5801540506,421.0,70.2734502666,14.4045926845,35.0,3.5,0.35,220.0,5.6964990569,0.178405974662
