id,probability_maraud,successful_mating,next_foraging_time,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.15,7,360.70095306,279.179236126,178.246714034,573.0,71.3165832385,14.5740473672,1188.0,196.626744462,41.6446517484,500.0,85.371442066,18.6932167542,33.0,3.3,0.33,201.0,3.43538053953,0.0716152259328
1,0.15,13,360.031047056,608.682612706,264.752766831,562.0,72.9162349473,16.0411622451,1158.0,195.27022029,41.7741928026,509.0,85.4493267782,18.0470017832,33.0,3.3,0.33,217.0,3.09252948912,0.0571433771965
2,0.0,3,359.943426255,319.022908121,669.855112007,564.0,71.8681465677,15.049638332,1210.0,201.9348171,42.5540297935,505.0,86.2770030961,18.7649836167,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,10,360.112767698,272.483872357,277.623095797,570.0,68.0166644842,13.3526217843,1268.0,217.960600619,47.7260845609,441.0,74.0518182147,15.8824445877,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,10,360.117539572,760.268926821,302.473569087,568.0,69.8105528041,15.0835024441,1293.0,217.507403905,46.0527411366,414.0,72.7116085102,16.0088779121,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,11,360.143877228,400.726500922,275.493118385,575.0,65.6557360481,12.3928501973,1349.0,220.636566525,45.9997724374,449.0,73.8316652114,15.5266877476,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,17,360.049438733,570.42759926,535.874112949,567.0,67.4316330268,13.0149196235,1379.0,227.197958409,48.2855475538,379.0,65.5370141151,14.3649392858,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,6,360.326970382,714.399068425,704.450798256,554.0,73.4537328612,16.7881059007,1279.0,212.484042732,44.7490814425,454.0,74.2809621365,15.7150023014,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,4,359.938624157,749.201968957,669.676920564,568.0,70.641193666,14.7012552847,1242.0,211.428565959,45.7241252926,455.0,77.9370602465,16.8468957987,0.0,0.0,0.0,0.0,0.0,0.0
9,0.15,14,360.038768491,678.045443386,508.611908413,566.0,69.0559268318,13.6240391832,1284.0,214.906739611,46.1015795991,417.0,69.102216007,14.8535112768,36.0,3.6,0.36,236.0,3.53973776087,0.0679557587816
10,0.15,11,360.401989758,463.421288003,511.767153446,564.0,71.0897160073,14.6516385405,1200.0,204.24659396,43.7758878362,461.0,77.1618835255,16.2415014368,42.0,4.2,0.42,228.0,3.35343316685,0.058572836503
11,0.15,6,360.330124935,12.9890797961,405.899825649,566.0,68.3717782038,13.9486848481,1253.0,210.33069631,44.8016856846,449.0,73.699709214,15.5488452331,40.0,4.0,0.4,195.0,3.6525917,0.0840235923589
12,0.15,9,360.07086235,169.695323859,645.286459601,573.0,71.6366356017,14.528120298,1288.0,214.148970404,45.2407632045,385.0,65.9793996831,14.184457013,39.0,3.9,0.39,228.0,4.34875295985,0.0989616724642
13,0.15,8,360.172065995,864.32810105,604.8390497,574.0,67.9473673749,13.4850132194,1307.0,218.726837532,46.2164169241,381.0,65.1999711691,13.928807297,39.0,3.9,0.39,252.0,4.23556200027,0.091894443568
14,0.15,12,359.779306749,566.943709093,335.622151991,560.0,67.4793741107,13.4121815633,1165.0,195.876748873,41.8015743659,522.0,90.0322015837,19.1183646663,36.0,3.6,0.36,222.0,3.0532589726,0.0507543360076
15,0.0,8,360.448627073,672.064927857,68.1644065976,560.0,73.0373318656,15.6683558771,1356.0,225.68295981,47.8206760637,370.0,61.5958822169,13.1223867012,0.0,0.0,0.0,0.0,0.0,0.0
16,0.15,9,360.006973907,642.586708866,90.0357279117,568.0,66.8278220512,13.5651478421,1208.0,204.737746235,43.2081064542,477.0,81.8249105226,17.4066223526,32.0,3.2,0.32,213.0,3.49262684948,0.075929804927
17,0.15,8,360.218015828,13.2000676353,427.992234319,563.0,71.9042705888,15.4597003634,1253.0,210.853156509,45.4970092319,422.0,70.1444519959,15.0602248441,34.0,3.4,0.34,197.0,3.74262136748,0.0895267510927
18,0.15,6,360.193101294,666.247734603,868.922260713,571.0,71.8952658009,15.289597572,1264.0,213.706906838,46.0323515905,413.0,65.7310904184,13.4647085793,39.0,3.9,0.39,248.0,4.76725386507,0.112956381412
19,0.15,13,360.559175941,490.013852598,559.272634915,574.0,70.440524948,15.0816127855,1134.0,190.40057594,40.3559082881,572.0,94.4595509419,20.0035622292,23.0,2.3,0.23,179.0,2.49702874131,0.0407700153659
20,0.0,13,360.105086735,692.104098161,85.6260454015,564.0,72.3062237969,15.9091319796,1430.0,236.67956603,50.232806569,297.0,51.1477790376,11.066391425,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,3,360.023848634,1.32324850527,344.95189129,557.0,71.0056248752,15.3583829121,1331.0,227.521108205,49.2777241952,359.0,61.4851360157,13.1267064522,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,9,360.357609411,424.587107487,541.115460935,555.0,71.6095478707,14.3345430677,1243.0,209.094920324,44.9882408811,449.0,79.3032956413,17.5643849878,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,3,359.839580464,411.978084543,414.791246641,558.0,70.625176073,15.1834232958,1259.0,215.433339066,46.1996209789,418.0,73.9665239033,16.1252153915,0.0,0.0,0.0,0.0,0.0,0.0
24,0.15,9,360.236456169,675.934733877,11.9215935826,562.0,68.909455322,13.4701713931,1393.0,233.61164486,49.9352747805,275.0,49.7305009827,11.4767740523,37.0,3.7,0.37,232.0,4.25584867322,0.100849699529
25,0.0,12,360.500435815,336.026236883,334.838231343,562.0,69.790475769,15.2363555118,1321.0,220.980385676,47.4726387427,419.0,69.4599216142,14.3569566703,0.0,0.0,0.0,0.0,0.0,0.0
26,0.15,2,360.198484619,883.525751283,110.914323688,571.0,70.609874325,14.1185674276,1304.0,217.294206489,45.960807183,406.0,65.2905666683,13.3079824587,26.0,2.6,0.26,220.0,4.28821216413,0.102688470055
27,0.15,4,360.372186747,41.164026551,750.23505534,573.0,74.6524473296,16.0439228456,1261.0,215.597198009,46.0573357137,366.0,62.0930591586,13.6041536176,28.0,2.8,0.28,229.0,4.95455534824,0.127173099862
28,0.15,12,360.849991984,606.920223874,276.176199097,577.0,72.27179124,14.0486252995,1178.0,204.787870636,44.9088881547,463.0,77.43996684,16.5234980089,27.0,2.7,0.27,211.0,2.92721727743,0.0521179411429
29,0.15,10,359.867389154,874.838758798,702.876809005,569.0,72.4944035574,16.1900223096,1139.0,195.515577727,42.5234724592,526.0,86.5806867857,18.017367158,21.0,2.1,0.21,197.0,3.41670121255,0.0766236937868
30,0.15,5,360.289628249,869.836633452,54.2855741589,571.0,73.5655063062,16.0129255574,1266.0,215.400311519,46.2307139991,366.0,61.3183774039,12.9226108423,51.0,5.1,0.51,242.0,4.7221540347,0.116424567088
31,0.0,9,360.718103048,711.396705627,451.492569599,568.0,74.2110578998,15.959842132,1425.0,244.194432881,53.9694549166,252.0,41.6655344673,8.75544929549,0.0,0.0,0.0,0.0,0.0,0.0
32,0.15,9,359.973653794,635.333682211,328.090315946,566.0,71.4147392992,15.406768981,1310.0,220.05965479,47.3870989203,364.0,61.9069397093,13.0462252206,32.0,3.2,0.32,246.0,3.44697736469,0.06114830678
33,0.0,9,360.699659865,765.950728425,890.1893058,561.0,69.8540344399,14.7308038812,1404.0,232.822601365,49.0341907261,334.0,57.509921131,12.712453433,0.0,0.0,0.0,0.0,0.0,0.0
34,0.15,5,360.147162088,29.7252036252,141.247437841,568.0,74.8016543741,15.8448684271,1126.0,193.516546777,41.5241899006,505.0,84.8894272327,17.9319741338,28.0,2.8,0.28,196.0,4.23629510196,0.112627441459
35,0.15,9,360.262708712,60.1673920915,451.207508791,567.0,71.4102583598,15.3067184118,1328.0,224.352608341,47.9015042416,352.0,57.4513160901,11.7314809122,33.0,3.3,0.33,207.0,3.61153463681,0.0797290130468
36,0.15,11,360.396006213,678.632002895,93.2940743663,564.0,70.4104791527,14.4853602977,1242.0,211.910371729,45.312500563,412.0,69.9600505539,15.1420521528,42.0,4.2,0.42,220.0,3.57165752095,0.0776925149876
37,0.0,9,360.048523969,183.032214893,120.262151688,567.0,74.1779541597,16.772447634,1382.0,233.149919888,49.8635945712,320.0,52.8039002395,11.0128531465,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,10,360.311495788,172.278982231,308.378185245,562.0,70.6694625216,14.5349768641,1259.0,211.555642472,45.3051760652,452.0,77.9363092201,16.967699909,0.0,0.0,0.0,0.0,0.0,0.0
39,0.15,11,360.468543599,339.22871412,844.959459013,567.0,72.9364805625,15.8065345271,1257.0,209.703453015,44.7649478092,399.0,68.8437175518,15.2431491713,43.0,4.3,0.43,223.0,4.27893208993,0.100853648857
40,0.0,6,360.238489453,394.355497758,870.180925818,565.0,69.6061321948,14.2901724994,1181.0,204.344461062,44.684607426,501.0,86.1241021311,18.9741181518,0.0,0.0,0.0,0.0,0.0,0.0
41,0.15,16,360.088542138,354.053598363,473.135950067,563.0,68.7822057954,13.4070651246,1190.0,203.162163048,43.6782521367,491.0,82.3331997848,17.5649594141,30.0,3.0,0.3,194.0,2.88009757679,0.0508138471725
42,0.15,14,360.365875043,293.132011204,751.866469046,581.0,69.5640582302,13.3000496546,1291.0,217.034487748,45.9212022335,385.0,65.7628029225,14.1103316201,41.0,4.1,0.41,209.0,3.57580051818,0.0762144079358
43,0.15,7,360.542959554,453.784332624,667.015344677,569.0,71.2361881117,14.2275034647,1270.0,217.785728441,47.095386973,372.0,65.3420116831,14.3980681259,24.0,2.4,0.24,207.0,3.28633804074,0.0625796978736
44,0.0,9,360.093903161,650.927705394,616.291012707,565.0,67.849416148,14.9189247656,1347.0,230.066065075,49.7653458686,350.0,62.0912762788,13.9148951775,0.0,0.0,0.0,0.0,0.0,0.0
