id,probability_maraud,successful_mating,next_foraging_time,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,5,359.955282636,738.339477429,17.3914555904,578.0,71.7492824745,15.4519128903,1407.0,240.432736561,52.1454386195,290.0,47.9517775768,10.2141409419,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,13,360.690965406,55.0601283702,683.632824399,564.0,67.0503685547,13.130899362,1572.0,268.796294268,57.8755391683,150.0,24.2854145,5.05192526151,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,6,360.530314607,87.3009514416,781.01013595,559.0,70.7072667094,14.2882570269,1515.0,259.152001787,55.7201509223,186.0,30.4416223364,6.32492685668,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,8,360.636751983,180.068489696,807.044953924,575.0,69.9432067716,14.3317290723,1441.0,241.327344108,51.0076904257,283.0,48.8066844016,10.8083210621,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,9,360.318202798,36.378959955,206.34432898,547.0,72.1874091314,15.8766949791,1360.0,232.815568354,50.3199313197,334.0,55.0987480712,11.5266550778,0.0,0.0,0.0,0.0,0.0,0.0
5,0.15,8,359.88775462,324.539775807,247.120271868,565.0,68.1706113838,12.9575929643,1234.0,209.425943273,44.6069526988,428.0,75.8019463583,16.3971313054,35.0,3.5,0.35,208.0,3.20724414401,0.0602643191953
6,0.0,14,359.961900732,709.094622975,741.666282825,564.0,67.2590258082,12.5977095747,1521.0,256.057671651,54.7208106725,232.0,36.6866756923,7.50391604476,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,14,360.160326504,620.531141374,554.843315042,565.0,71.1096590664,14.7891650405,1485.0,252.033593591,54.5208555011,209.0,36.8687813462,8.23526618147,0.0,0.0,0.0,0.0,0.0,0.0
8,0.15,6,360.509926048,653.178708206,639.491796663,575.0,71.0202294371,14.3787804156,1474.0,244.634205569,52.1454302954,206.0,36.4995080625,7.93768635361,41.0,4.1,0.41,236.0,3.94345748165,0.0841831835222
9,0.0,6,360.149772022,865.45960196,166.938815571,556.0,71.012050505,15.1147107985,1431.0,242.535487858,52.5285985099,284.0,46.5629631363,9.56338499563,0.0,0.0,0.0,0.0,0.0,0.0
10,0.15,5,360.119057629,564.279882481,194.309559743,571.0,68.0356143889,13.6848289519,1336.0,223.989810629,47.7109257588,364.0,60.5577327568,12.9099575975,44.0,4.4,0.44,207.0,3.03408044902,0.0584061396746
11,0.0,6,360.270356797,94.3912946599,327.347626165,576.0,67.6183823863,12.9675717049,1567.0,268.10841452,58.3548241769,139.0,24.4360004947,5.50139045829,0.0,0.0,0.0,0.0,0.0,0.0
12,0.15,8,360.26840241,573.804381849,292.272903004,562.0,72.8090241599,14.9836887883,1400.0,237.249237274,50.4987648261,264.0,43.1989069905,8.70655733061,34.0,3.4,0.34,252.0,3.6150121525,0.0637237556294
13,0.0,9,360.108918871,815.863798396,458.699451759,554.0,71.6076149913,15.9581079461,1552.0,257.970614023,54.5073659353,177.0,30.5677734103,6.69055942472,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,11,360.325983968,574.981296508,227.990971181,571.0,70.3045416255,14.8755094083,1436.0,241.06505571,50.9202776559,299.0,48.6993394862,9.97847635695,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,13,359.877604644,685.385527986,656.064352202,561.0,71.0655226754,15.2438751974,1399.0,240.275541276,52.075414075,289.0,48.6953182651,10.6111869756,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,6,360.735664745,257.052815347,791.763839324,575.0,68.1977271344,13.2550142682,1562.0,263.865910771,56.6144320986,175.0,28.0071366463,5.80170374494,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,6,360.201359654,724.492824266,98.8488478671,575.0,71.6166634406,15.534454277,1354.0,227.66638618,49.0353424764,350.0,60.7295792956,13.2498562779,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,11,360.226088563,510.996136042,254.35230378,563.0,68.0827085915,13.1121203563,1426.0,243.44184508,52.576386968,286.0,48.6295140531,10.3914407109,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,12,359.988097408,113.778353656,212.407078243,558.0,71.8548351291,15.5829031616,1570.0,257.572456519,54.2606713178,180.0,30.7774276603,6.62430819762,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,7,360.068943328,609.017882191,157.013182947,566.0,67.4751399258,13.4792378283,1367.0,231.368993328,49.4917725117,352.0,61.1571651668,13.7129767526,0.0,0.0,0.0,0.0,0.0,0.0
21,0.15,10,360.488428174,766.925392479,32.3420528339,552.0,71.2038586229,14.9966968277,1284.0,220.443524891,47.9880992573,368.0,61.1208208495,12.7881932511,35.0,3.5,0.35,219.0,3.8612676112,0.0880313290891
22,0.15,6,360.225098336,268.473679385,541.828068674,563.0,75.4217365509,16.9656514994,1491.0,246.345753008,51.4237706116,176.0,30.528204018,6.61519966038,32.0,3.2,0.32,273.0,4.68698817681,0.0934351499959
23,0.0,11,360.386441675,329.095793031,258.075522677,570.0,69.6293966117,13.3760739903,1387.0,233.464333885,49.8400154217,342.0,56.9227566843,11.8893896619,0.0,0.0,0.0,0.0,0.0,0.0
24,0.15,3,360.127775961,892.628728303,354.750413761,578.0,71.3796664281,14.4710964573,1495.0,248.832024622,52.3993007978,184.0,30.4304206234,6.32407149081,52.0,5.2,0.52,262.0,4.30228605883,0.0967385628831
25,0.0,12,360.450048336,767.819192078,781.470020317,562.0,72.3182095411,15.175170206,1605.0,269.660971021,57.5775508024,112.0,18.1860703475,3.87532269427,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,7,359.981211626,315.04496377,166.025181746,571.0,71.5395666149,15.3773125324,1542.0,262.859112359,57.0444541998,154.0,25.714501652,5.66870641174,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,5,360.109121327,845.804029076,847.729803805,560.0,72.2948556432,15.5269448195,1620.0,275.687085359,59.5897216615,75.0,12.1243952872,2.48741794763,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,6,360.602805419,3.86844763001,29.1570230291,558.0,70.5145445517,15.0125754657,1561.0,260.682283537,55.2763872572,183.0,29.0051965591,5.91264784379,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,9,359.976083477,621.938078745,291.535063855,561.0,73.6431238993,15.8174840938,1466.0,250.008301712,53.5465637048,215.0,36.4684966919,7.75959246924,0.0,0.0,0.0,0.0,0.0,0.0
30,0.15,5,360.045122376,73.2572067101,463.211279447,582.0,70.1179284203,13.9259901606,1289.0,220.819124796,48.4035275516,369.0,62.1217770764,13.1544193424,35.0,3.5,0.35,198.0,3.55354705612,0.0799009190632
31,0.0,10,360.097098467,627.544676781,22.7840312464,556.0,69.5676712192,14.1321084927,1374.0,235.948323302,51.4784218947,321.0,54.5560388658,12.0194628449,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,13,360.345679254,784.00446079,632.973465397,562.0,71.2225136143,15.3350834549,1417.0,244.045912943,53.3483152168,266.0,45.0087085394,9.76503134195,0.0,0.0,0.0,0.0,0.0,0.0
33,0.15,10,360.418831987,429.071188522,850.0972587,572.0,74.9457758533,17.74816738,1371.0,233.758814293,50.3372468206,269.0,42.7010919833,8.63813159226,41.0,4.1,0.41,241.0,4.61927019955,0.105953671316
34,0.0,12,360.350624482,307.753318743,6.07635392038,551.0,72.0326290898,16.0737931821,1509.0,257.512354284,56.6477771735,179.0,30.620113221,6.32564365377,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,13,360.053491165,708.21584868,183.453238238,545.0,71.8510234869,16.3814764272,1483.0,251.816656756,54.6356792534,226.0,36.4279812547,7.53502908092,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,3,360.195668243,868.239258454,643.726725207,561.0,67.9042976796,13.4332786579,1559.0,268.021899592,58.2701445073,146.0,24.177860633,4.98552588529,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,11,360.126379462,539.29580414,98.899634042,567.0,72.0054844467,15.3397324342,1416.0,239.3960917,50.5534887648,293.0,48.7616344077,10.2847973746,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,6,359.945239104,3.84377259751,641.701020534,560.0,72.3958960286,16.1936922511,1567.0,263.24914726,56.4813386178,141.0,24.3848092482,5.23844009952,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,7,360.808353765,296.424381554,873.208420254,558.0,72.692603675,15.3747701036,1478.0,250.598924555,53.5201437073,216.0,36.7693497039,7.97650778163,0.0,0.0,0.0,0.0,0.0,0.0
40,0.15,7,360.044388623,637.885034329,488.958505733,561.0,71.2935213771,14.7128117575,1277.0,219.083228003,47.0492944887,368.0,60.8392373129,12.9011936004,51.0,5.1,0.51,242.0,3.79953714207,0.0723632112333
41,0.0,6,360.592985219,109.362129979,686.787437522,558.0,73.6542287119,16.4980738343,1481.0,256.462457713,55.7363409727,167.0,30.2807572601,7.05151551634,0.0,0.0,0.0,0.0,0.0,0.0
