id,probability_maraud,successful_mating,next_foraging_time,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.15,13,359.954191606,1056.27645174,1201.79268242,566.0,72.2309830958,15.727801932,1139.0,196.601226973,42.4616489509,489.0,84.6210915014,18.304529846,22.0,2.2,0.22,189.0,4.60190308277,0.133192040497
1,0.15,8,360.322199523,1599.14590286,613.294505695,581.0,74.5760824067,15.4497396518,930.0,156.504356454,33.2304148221,704.0,122.406853576,26.5376473923,25.0,2.5,0.25,199.0,4.16503162007,0.104171686292
2,0.15,12,359.944333789,731.333290927,505.443296726,576.0,71.7236492605,14.6762538553,1047.0,172.250815419,36.3897495933,671.0,109.509788697,22.3450134211,22.0,2.2,0.22,213.0,4.32338516402,0.104519326383
3,0.15,6,360.118803212,1783.81957279,1449.31129504,569.0,73.5786577184,15.3011074215,1000.0,166.967538936,34.8318570791,638.0,114.534002436,25.7200385172,18.0,1.8,0.18,157.0,3.26744334968,0.0917455647639
4,0.15,13,360.412134987,1197.6257653,371.330579251,569.0,69.8884512945,14.7269529983,1043.0,180.568838995,39.1047016449,603.0,103.959840109,22.4510075225,20.0,2.0,0.2,162.0,3.6157973246,0.101251328839
5,0.15,9,359.896342699,994.940751961,380.326049751,569.0,73.1236188217,16.3373691324,871.0,147.676648259,31.4970052792,808.0,134.385975366,28.1455818264,19.0,1.9,0.19,143.0,2.97504323946,0.0812686352931
6,0.15,11,360.267836521,1726.0276551,809.627926307,560.0,72.0722036979,15.9934123987,896.0,148.148064744,30.9903782241,806.0,134.668521807,28.7248485781,21.0,2.1,0.21,133.0,3.0420316701,0.0877522602443
7,0.15,10,359.898450925,485.923229523,324.72185465,561.0,71.9100651126,15.2539856949,929.0,155.271952305,32.8386758059,768.0,128.135384147,26.7926028673,17.0,1.7,0.17,153.0,3.11289557708,0.0758810769683
8,0.15,7,359.987218417,371.931906225,511.553621397,564.0,72.9093126851,15.1986052185,873.0,146.835205896,31.5282555472,777.0,134.582567207,29.6880892232,29.0,2.9,0.29,143.0,2.913273951,0.0714340199691
9,0.0,10,360.246556203,2225.37252417,657.62287765,569.0,70.7968978612,14.6959528882,1134.0,191.016739326,40.4241244281,588.0,98.1911139454,20.5453249931,0.0,0.0,0.0,0.0,0.0,0.0
10,0.15,9,360.319118669,309.722723005,808.00878261,559.0,72.0250865154,15.4897152423,774.0,131.301747795,28.4106869229,900.0,152.506411974,33.4407085073,17.0,1.7,0.17,126.0,2.56041623252,0.0636015510883
11,0.15,8,360.099137381,1880.51169602,1067.29079842,561.0,71.2000585821,14.8419323909,1172.0,200.937231673,43.0746552128,481.0,80.1954359931,17.5252404422,30.0,3.0,0.3,214.0,4.74522115439,0.131571554169
12,0.15,10,360.726307638,645.728033818,1228.6894073,552.0,70.3559258911,14.2623027247,822.0,138.338833242,29.2218967694,894.0,146.651150734,31.0504667926,19.0,1.9,0.19,147.0,2.82759107501,0.0739402136911
13,0.15,9,360.758801649,1192.51861625,265.193425955,547.0,71.0343039701,15.0150176925,1059.0,179.256633369,38.1011466576,598.0,103.689017101,22.7389524372,20.0,2.0,0.2,185.0,4.13289560178,0.117021756162
14,0.15,8,360.208570366,1206.71503892,568.003509227,574.0,72.985313695,14.6332125542,827.0,137.44865431,29.2448452988,856.0,144.128757528,30.8757069733,25.0,2.5,0.25,138.0,3.01533730673,0.0820568950413
15,0.15,6,360.422983105,942.692721943,1399.11276413,561.0,71.2818164481,14.9869899915,932.0,154.145005977,32.6317064127,753.0,129.899982622,28.3727067309,11.0,1.1,0.11,169.0,3.76473696774,0.10520472206
16,0.15,13,359.855609355,2055.2038471,412.746145161,578.0,72.6076812361,14.5876807914,1064.0,182.219394615,39.0299079734,598.0,100.214162817,21.2719574228,26.0,2.6,0.26,147.0,2.37560728295,0.0608616969006
17,0.15,8,360.590749046,427.54937907,1112.74074071,565.0,72.4428841199,15.4971081567,946.0,166.095889526,36.3116474331,672.0,116.0545131,25.3443033514,23.0,2.3,0.23,158.0,3.15705755171,0.0879560144046
18,0.15,9,360.106156174,1294.68525446,2244.5296586,561.0,70.9602059012,15.3654791997,1083.0,183.919051663,39.6660056672,570.0,97.7966271853,21.1768920891,27.0,2.7,0.27,203.0,4.82873474875,0.147312447457
19,0.15,5,360.347509017,1674.03053511,38.7445717536,575.0,69.6833957134,13.8250878319,1277.0,219.215156177,47.4445388123,374.0,61.3693678569,12.9973713849,36.0,3.6,0.36,225.0,6.31262658032,0.194790307531
20,0.15,10,359.973052017,1613.21592208,598.31835049,565.0,71.5779615211,15.2034806613,1005.0,172.966325411,37.3240160699,661.0,109.752351441,23.0852216638,19.0,1.9,0.19,177.0,3.82380638537,0.100568233092
21,0.15,6,360.462456336,1116.12553977,701.948964654,577.0,70.4783814472,14.9658436741,801.0,133.626819457,28.5270109954,896.0,149.938695757,31.8813492819,24.0,2.4,0.24,166.0,3.67497102974,0.100357440208
22,0.15,8,359.95154172,112.575161654,469.420502564,559.0,75.9736221498,18.7477957911,1014.0,174.1674768,37.5791558312,634.0,103.62025294,21.3862295371,31.0,3.1,0.31,168.0,3.21079185669,0.0870190637701
23,0.15,5,360.249590396,824.670953641,1033.90693399,573.0,68.7737584236,14.09865475,941.0,164.227964768,36.9757660187,715.0,121.995430905,26.3628634245,15.0,1.5,0.15,165.0,3.64517880849,0.10574493183
24,0.0,11,360.111971366,1383.44568592,1817.06146028,568.0,71.0160735519,14.9560090598,1052.0,181.464711858,39.1725398,625.0,107.687358324,23.3102507481,0.0,0.0,0.0,0.0,0.0,0.0
25,0.15,9,359.94682347,830.134299884,1266.39488377,562.0,69.7855501304,14.4951436874,802.0,138.400551821,29.6611388413,847.0,146.435607084,31.5770002883,24.0,2.4,0.24,155.0,3.03340959805,0.0753659911124
26,0.0,11,360.479336694,2188.86195331,344.67946423,572.0,69.6317942806,14.6042143327,1336.0,222.861239288,47.3964232535,386.0,67.5705832,15.0173715812,0.0,0.0,0.0,0.0,0.0,0.0
27,0.15,3,360.811612368,160.718589076,153.700827674,570.0,67.1833227327,13.755712502,1154.0,195.823844894,42.0354747192,562.0,91.5935580237,19.3202316375,18.0,1.8,0.18,185.0,3.83404969372,0.101790696
28,0.15,8,360.327281237,460.22753613,1091.66522759,570.0,69.9986778809,14.7023663698,861.0,147.317432351,32.1105961606,817.0,138.908698066,29.7173436406,15.0,1.5,0.15,122.0,2.3034197876,0.0584795887946
29,0.15,10,360.059531674,136.230683448,979.067803124,564.0,66.3079954721,13.2035851812,1013.0,172.222870257,36.599965851,668.0,116.252943615,25.5848850437,15.0,1.5,0.15,178.0,3.81362581118,0.0985930198799
30,0.15,7,360.17542059,1596.85477295,2122.35917473,571.0,70.8751747808,15.5523581218,1212.0,206.116398532,44.0307582569,439.0,74.605306079,15.9548035193,29.0,2.9,0.29,231.0,5.59075737948,0.15363809163
31,0.0,9,360.180020519,1720.83871171,1530.99851589,571.0,72.4561179201,15.1713681046,1127.0,190.506076198,40.0687302824,558.0,97.150698014,21.2412109657,0.0,0.0,0.0,0.0,0.0,0.0
32,0.15,13,360.103129664,2035.01223301,758.586231491,565.0,69.0478868884,13.9825619918,1064.0,179.628272718,38.5858567084,660.0,106.388515659,22.1897821958,21.0,2.1,0.21,164.0,3.01365229091,0.0700209787779
33,0.15,6,360.408494951,1026.45438822,1722.55698667,567.0,70.8864032422,14.7556711828,923.0,155.824067828,32.7594095912,739.0,128.096709053,28.6513368479,17.0,1.7,0.17,166.0,3.51074442306,0.0983279899545
34,0.15,11,360.221154535,1505.35082528,1509.60919885,569.0,73.1945995149,15.5349542433,901.0,150.823474058,31.8115844204,771.0,130.225637433,27.6893774127,19.0,1.9,0.19,162.0,3.96581920257,0.114067024366
35,0.0,10,360.100503219,16.9232935636,526.625365103,562.0,71.6604821795,15.2320913355,1077.0,185.337843286,40.0248862246,613.0,103.238103664,22.0156209267,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,10,360.0012356,1253.02445213,790.75040447,560.0,73.5164237395,16.7408359009,1084.0,188.811452864,41.0023109657,592.0,97.8994694576,20.6803910338,0.0,0.0,0.0,0.0,0.0,0.0
37,0.15,19,359.881811473,335.010942312,1043.42646823,566.0,68.9204944055,14.6045418241,1019.0,172.391378445,37.3209277285,698.0,113.855292684,23.6938933524,16.0,1.6,0.16,176.0,3.31339356704,0.0859248228582
38,0.0,8,360.010468549,1709.26908791,868.643399352,555.0,71.2206487622,15.5190277872,1106.0,182.163916932,38.1314397903,649.0,106.703837705,22.4303376471,0.0,0.0,0.0,0.0,0.0,0.0
39,0.15,8,360.087735614,1047.14406117,1960.51178487,566.0,68.3662637324,14.0037175911,734.0,124.337362107,26.4036036636,960.0,162.84943115,34.7722454024,22.0,2.2,0.22,121.0,2.40148243979,0.0601952523798
40,0.15,6,360.130744278,57.9835346429,610.763158796,568.0,72.4004626032,15.0974779259,1106.0,188.588241312,40.1566573009,561.0,92.0864223184,18.8576257426,28.0,2.8,0.28,208.0,4.20308455621,0.114636878111
41,0.15,3,360.167392362,2132.86089789,1820.63776245,572.0,70.5989294187,13.6622613407,1058.0,185.279400684,40.3316817448,558.0,97.7379179751,21.4202389412,19.0,1.9,0.19,173.0,4.50644673071,0.137424244648
42,0.15,3,360.021428572,635.303844393,2203.0354031,584.0,71.0811783074,14.4101794606,1033.0,176.745555546,38.298884153,610.0,103.843429689,22.2598975326,27.0,2.7,0.27,190.0,5.74303748095,0.18831224398
43,0.15,4,360.114469029,401.996613453,36.5234990167,579.0,71.5655665764,14.8542657342,1154.0,190.080833879,39.9969206485,542.0,91.7348105772,19.6134540002,31.0,3.1,0.31,167.0,3.70296730872,0.103789405714
