id,probability_maraud,successful_mating,next_foraging_time,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.15,7,360.097392667,3.60242761368,596.456341426,566.0,70.5515699974,14.9016137235,1143.0,188.193331578,39.55899407,570.0,93.9186371221,19.9595283199,36.0,3.6,0.36,192.0,3.83473009815,0.0921475588036
1,0.15,14,359.999644427,108.228635247,313.347963694,560.0,72.568497873,15.3467399779,1273.0,215.018234267,45.7808682276,393.0,65.7425327288,14.3461642033,33.0,3.3,0.33,210.0,3.61699808868,0.079489096242
2,0.15,4,360.033200488,219.104914364,52.7907181505,551.0,67.5719756201,14.4397299792,1216.0,201.864549496,42.3463886019,474.0,83.1008390429,18.2056384585,36.0,3.6,0.36,209.0,3.89537954759,0.0884729097844
3,0.15,11,360.044375091,191.60823679,853.53019773,566.0,74.4367375551,16.0263622061,1123.0,191.355677727,41.1302126993,514.0,88.6754919748,19.2027889537,26.0,2.6,0.26,195.0,3.09406541259,0.0663360730599
4,0.15,9,360.633426545,298.881175367,856.310341994,579.0,69.8836050092,14.122664418,1241.0,213.176575648,45.4044093123,407.0,70.2933778269,15.2708876988,29.0,2.9,0.29,221.0,3.92143609027,0.0934522684311
5,0.0,3,360.335293257,773.015741544,57.3978016666,568.0,74.7659621633,16.4941452996,1217.0,211.314579304,46.0099755308,441.0,73.9295232554,15.6118125883,0.0,0.0,0.0,0.0,0.0,0.0
6,0.15,7,360.434753269,559.34092166,24.8969517179,564.0,69.1365498618,13.6989019381,1322.0,222.629765625,46.8307080674,360.0,61.5788498161,13.3766162723,28.0,2.8,0.28,236.0,3.96104918341,0.0817841496472
7,0.15,8,360.365091827,864.852938955,397.426892954,565.0,72.3536025745,15.1593159718,1167.0,198.754920791,42.7625796963,463.0,82.4476817524,18.2119632411,29.0,2.9,0.29,199.0,3.55858607197,0.0798294931312
8,0.15,15,360.459396538,188.645610346,669.213836623,575.0,69.5720651959,14.7690188349,1269.0,209.332491409,43.5082514476,447.0,74.0107402447,15.7976354033,35.0,3.5,0.35,221.0,3.71430036874,0.0812368999313
9,0.15,11,360.231889262,753.855789765,204.835584998,566.0,70.1244978743,13.789142402,1236.0,205.557151762,42.5424938359,452.0,77.7388541525,16.9743113992,33.0,3.3,0.33,214.0,3.37459526525,0.0710133463379
10,0.0,6,360.373128629,48.1420107663,184.901504931,567.0,66.2797875806,12.5282613021,1160.0,202.911778602,44.6678049009,539.0,91.0570958581,19.0066112798,0.0,0.0,0.0,0.0,0.0,0.0
11,0.15,3,360.389385217,16.6471697947,899.030874439,577.0,69.3491665688,14.9241479068,1270.0,214.084907565,46.2551193846,410.0,69.9167864528,15.1340388084,26.0,2.6,0.26,218.0,4.05203056866,0.1064326599
12,0.15,11,360.353171542,731.985829069,561.206508529,576.0,70.2715939389,15.365536915,1085.0,185.538527746,39.7818318991,582.0,98.3900283137,21.6018440235,25.0,2.5,0.25,205.0,3.35727899902,0.0657102959819
13,0.15,6,360.399136171,338.234450921,348.733936342,555.0,71.5250498093,15.4314471531,1050.0,180.278116614,38.3136056955,608.0,103.524216952,22.3167304302,26.0,2.6,0.26,156.0,2.18855364646,0.0389633573107
14,0.15,13,360.08569166,812.85311205,71.211178181,570.0,71.830206584,15.1104062815,1316.0,222.205741727,47.2584949465,351.0,57.4328875192,11.6609191813,46.0,4.6,0.46,259.0,4.12671074524,0.0931432569838
15,0.15,6,360.00933138,163.227389919,880.340872615,548.0,74.6761690114,16.3342154154,1126.0,186.149060467,39.4186580853,590.0,93.7696270451,19.3337070704,28.0,2.8,0.28,171.0,2.75886754828,0.0619425420887
16,0.15,9,360.456022553,72.87499586,111.666158094,578.0,71.1215876613,15.3708948896,1292.0,219.100473357,47.3383670811,377.0,61.3258320751,12.7467123416,37.0,3.7,0.37,254.0,4.94597113989,0.121325803441
17,0.0,12,360.060916828,855.459250343,101.93087574,544.0,69.5074026793,14.8985992774,1519.0,257.630784893,55.4693258,186.0,32.9326681764,7.37708819574,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,3,360.071541847,763.280583773,281.930489455,560.0,72.0178220887,15.5882542654,1033.0,176.754929309,38.2755685145,636.0,111.263070373,24.6033297374,0.0,0.0,0.0,0.0,0.0,0.0
19,0.15,4,360.519997584,506.642070481,406.61825847,548.0,72.9281065672,15.7587927504,948.0,159.607037164,34.3324907126,710.0,122.810884782,26.7030816851,20.0,2.0,0.2,175.0,2.69636000362,0.0477018317039
20,0.15,5,360.828613455,593.406643753,863.735608033,569.0,66.3617430632,12.8564717084,1363.0,228.547778836,49.2434546276,344.0,57.2318947492,11.869658517,31.0,3.1,0.31,254.0,5.13861736438,0.123046667518
21,0.0,9,360.291332195,97.9255744612,727.937812915,565.0,71.137782375,14.8028526553,1253.0,214.696063724,46.3769668172,474.0,74.1855867757,15.0097105164,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,13,360.03010072,846.463015061,764.956316734,565.0,69.6808498453,14.2011418905,1313.0,219.949870344,46.8198844492,416.0,70.4046086223,15.1371542683,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,12,360.158087466,205.331928667,281.105678621,569.0,67.3638503607,13.3180824263,1325.0,227.229814677,49.5154047158,377.0,65.4519486728,14.1701056925,0.0,0.0,0.0,0.0,0.0,0.0
24,0.15,6,360.418052655,415.848769904,824.239580002,562.0,74.8703941641,16.9070156122,1098.0,186.115443048,39.6979747152,564.0,93.5072586126,19.7364351674,22.0,2.2,0.22,196.0,3.38455251087,0.074789245541
25,0.15,10,359.923047721,813.926949272,22.9183223014,582.0,71.0797139836,14.9781219324,1188.0,202.329756035,43.1668571114,465.0,80.366688116,17.0829175717,30.0,3.0,0.3,190.0,3.22593482464,0.0736812387069
26,0.0,9,360.708291793,6.70598660726,882.163296481,567.0,67.6621974726,12.8858982712,1361.0,226.688567421,48.4343268572,392.0,65.8289877733,13.8343797656,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,4,360.165149589,306.85679415,792.346599549,565.0,71.4702311733,14.5548958901,1189.0,206.415269236,45.5460031159,484.0,82.2391195847,17.3646383896,0.0,0.0,0.0,0.0,0.0,0.0
28,0.15,13,360.5514202,564.837982582,120.406550906,579.0,70.723998274,14.3342322774,1234.0,205.180317378,43.0627430903,461.0,77.7011590054,16.7527570046,34.0,3.4,0.34,212.0,3.08047414932,0.0582032512706
29,0.15,8,360.700146906,356.350318323,115.729251788,572.0,71.2390739201,14.582129868,1219.0,203.122502466,43.6216943374,447.0,78.5255253346,16.9842229672,38.0,3.8,0.38,225.0,3.44324262859,0.0701135554646
30,0.15,10,360.144999632,366.575816374,283.771806592,568.0,66.9663097651,13.1048706376,1189.0,205.72498532,44.8989472455,494.0,81.7921135962,17.4387512105,22.0,2.2,0.22,221.0,3.34870833106,0.0630338380887
31,0.0,13,360.326333553,835.189030597,165.189124916,563.0,70.6152659393,14.6285047678,1284.0,220.199928338,47.841016533,419.0,69.4174079675,14.6889726564,0.0,0.0,0.0,0.0,0.0,0.0
32,0.15,13,359.912369024,324.741610212,586.77091727,559.0,71.9858477615,15.0392206556,1153.0,195.745925667,41.8207414219,508.0,86.2651240037,18.4306390057,28.0,2.8,0.28,214.0,3.24749916991,0.0587170307666
33,0.0,10,359.978099119,392.136344192,177.996423293,558.0,69.6144199253,14.6604635596,1318.0,220.418611034,46.886164005,401.0,70.0635314038,15.6505015454,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,12,360.09664795,656.630992794,255.59852444,575.0,69.4000802234,13.9348848435,1085.0,187.867821642,40.7350619196,603.0,102.779545526,22.054653273,0.0,0.0,0.0,0.0,0.0,0.0
35,0.15,8,360.13644235,286.828450862,618.031548513,567.0,69.549860301,14.2855562662,957.0,159.00854248,33.4688320769,755.0,126.977687891,27.2118671406,20.0,2.0,0.2,161.0,2.50200069451,0.0467135996456
36,0.0,10,360.652074924,393.113349182,353.857120346,578.0,71.1263176763,14.4394275938,1172.0,198.999157691,43.1459737341,540.0,90.2141030955,19.269747141,0.0,0.0,0.0,0.0,0.0,0.0
37,0.15,13,360.651099253,202.182775955,662.461756616,560.0,75.5578707432,16.9260030282,1202.0,203.096819076,43.2706514589,417.0,73.8290563901,16.7127321874,37.0,3.7,0.37,227.0,3.83143311947,0.082099601808
38,0.15,3,360.232003864,36.6696276998,840.923296196,556.0,74.4684112485,16.8244162646,1245.0,207.957510713,44.3184577478,424.0,69.7651634046,14.563929904,38.0,3.8,0.38,222.0,4.0143936876,0.0990689185352
39,0.0,8,359.976911053,259.910910387,309.109695534,566.0,72.1015173345,15.2147041375,1025.0,169.1916106,35.1819064329,684.0,118.965560132,25.7794020026,0.0,0.0,0.0,0.0,0.0,0.0
40,0.15,8,360.234992591,289.784608986,441.890731952,554.0,72.2286626894,15.6560494752,1045.0,178.414140237,38.3624258469,610.0,104.041065415,22.3156225935,29.0,2.9,0.29,172.0,2.53510626477,0.0459488428083
41,0.15,11,360.415521923,672.539196566,600.614368734,565.0,70.5818360331,15.1579625009,1068.0,176.378618842,37.4160471021,628.0,106.638361262,22.511439729,29.0,2.9,0.29,219.0,3.68872511034,0.0751905281291
42,0.15,10,360.292259846,392.120286069,554.242627733,565.0,73.2324515292,16.0587084184,1091.0,181.033890933,38.5677070068,593.0,98.601249624,21.2231774638,39.0,3.9,0.39,214.0,3.34198836145,0.0614774397333
43,0.0,5,360.26004475,767.648327722,338.243072172,563.0,71.224194349,14.6250152607,1114.0,190.25631529,40.805457756,584.0,98.6683506869,21.3684840981,0.0,0.0,0.0,0.0,0.0,0.0
44,0.15,9,361.173484749,729.340231864,746.077445797,569.0,73.8264068508,16.0237953545,1208.0,204.607103201,43.8697086915,428.0,74.5347659898,16.1956787289,38.0,3.8,0.38,207.0,3.93368038906,0.0899562450024
45,0.15,13,360.31604988,819.277695311,588.569649715,555.0,70.7939024787,15.9097908059,1097.0,187.719588817,40.7834282898,562.0,94.5423827239,19.9951943324,31.0,3.1,0.31,210.0,3.90718597916,0.0889159546668
46,0.15,7,360.017684138,861.175819879,477.163004648,562.0,73.3457049966,15.925100837,1099.0,188.779875088,40.8972525997,531.0,91.506355419,20.1333675098,34.0,3.4,0.34,174.0,3.06308724262,0.0681002191541
47,0.0,15,360.902069155,483.338058457,346.40916315,557.0,68.0688973825,13.5361320975,1163.0,197.884838569,43.1745140476,588.0,94.4055338848,19.1689657978,0.0,0.0,0.0,0.0,0.0,0.0
48,0.15,10,360.645568398,503.843762605,57.523195538,576.0,64.4079228368,12.0413609108,1256.0,214.630784685,46.2426724215,429.0,74.5236848394,16.1866100355,34.0,3.4,0.34,203.0,3.23646305456,0.0635889612061
