id,probability_maraud,successful_mating,next_foraging_time,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.15,12,359.926969494,813.602510358,1898.28562467,562.0,68.9777178291,14.6105929882,1112.0,187.902367584,40.4687149746,570.0,96.5930792005,20.9129753823,25.0,2.5,0.25,195.0,4.05433964833,0.107490284715
1,0.15,5,360.718385904,1110.65053613,1596.94960031,569.0,70.9390594141,14.3955842561,822.0,135.111150334,27.856749253,891.0,148.407076287,31.0268201702,23.0,2.3,0.23,154.0,3.37910953752,0.0897427838493
2,0.15,3,359.784851322,1119.83261528,116.747720527,561.0,73.4890614162,16.2622948503,1094.0,183.311359713,39.1126996216,545.0,94.7005344834,20.4555505152,32.0,3.2,0.32,210.0,5.43107333038,0.177932491395
3,0.15,9,359.900633698,1465.99009951,1199.46098253,559.0,66.6434011803,13.5933450014,998.0,166.921796262,35.311468023,687.0,119.143977073,25.8365273322,36.0,3.6,0.36,197.0,3.76203261243,0.0990921063021
4,0.15,9,359.980546938,1051.40497576,315.083034095,559.0,74.6893068945,17.5397598022,1071.0,182.228960787,39.3953138348,549.0,94.9042700925,21.0069353878,34.0,3.4,0.34,226.0,4.90439964722,0.140593951345
5,0.15,5,360.054389804,165.84059911,2092.36383332,579.0,73.2089828376,15.9857531566,1337.0,220.055576997,45.9870957128,343.0,57.6127019096,12.2940549093,41.0,4.1,0.41,260.0,5.07732105211,0.138726436698
6,0.15,7,360.173457452,834.561018136,564.86063252,575.0,73.4426624095,16.1612256943,1005.0,171.404522729,37.0968607469,645.0,110.236726182,24.1752737495,19.0,1.9,0.19,150.0,3.13292849974,0.0876366891148
7,0.0,12,360.188499376,1524.66981432,1031.38638112,577.0,68.7265270445,13.138027006,1165.0,192.562020806,40.6303134509,592.0,98.8236034492,20.7915660733,0.0,0.0,0.0,0.0,0.0,0.0
8,0.15,13,360.575950818,1070.77298727,1181.91001943,560.0,71.4835353455,15.4287445433,1053.0,175.720640925,37.2129374274,653.0,106.319469507,22.3044137725,23.0,2.3,0.23,193.0,4.30709725524,0.121029131107
9,0.15,9,360.280181784,1261.93111857,1668.19420585,570.0,70.3757525806,14.5316292913,1034.0,175.66929309,37.873268786,616.0,105.769172636,22.6078570247,40.0,4.0,0.4,198.0,4.20691260933,0.105882138309
