id,probability_maraud,successful_mating,next_foraging_time,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,3,360.6153581,194.114335119,0.804491891968,579.0,71.5058718888,14.2097345825,1247.0,209.292569067,44.5268007494,481.0,79.3156569929,16.849168821,0.0,0.0,0.0,0.0,0.0,0.0
1,0.15,11,360.429047673,839.073784472,354.818100655,563.0,72.8987977267,15.1362972814,1311.0,219.265067758,46.6450464306,364.0,61.3445727507,13.0261523225,31.0,3.1,0.31,231.0,3.50332867981,0.071328008768
2,0.15,11,360.121632264,424.80552554,359.335494913,562.0,72.6245506933,15.3729575315,1158.0,195.597719272,41.8965316276,513.0,86.0090297372,17.8517200622,32.0,3.2,0.32,208.0,2.96565595849,0.0507231950106
3,0.15,11,360.14162299,591.267689617,493.734735139,554.0,70.7260339158,15.1615868105,1254.0,211.9360278,45.9147207005,416.0,70.981183472,15.3935883488,34.0,3.4,0.34,235.0,3.12424342645,0.0524553414255
4,0.15,4,360.247780412,484.324147031,618.593367737,563.0,69.5402791871,14.1100501001,1118.0,192.676171334,41.3497531355,541.0,91.2052894612,19.5688332889,37.0,3.7,0.37,208.0,3.060740246,0.0553278597418
5,0.0,13,360.657426725,809.161232638,640.592264673,567.0,71.595218233,15.4919906782,1066.0,178.010513124,37.8189074291,667.0,110.545806647,23.3544337965,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,6,360.402452676,869.983168176,99.562915542,570.0,66.9864039361,13.1467890011,1380.0,231.577958352,49.4719187026,355.0,61.4749179377,13.4213016037,0.0,0.0,0.0,0.0,0.0,0.0
7,0.15,7,360.001168696,432.00714185,775.031517104,565.0,73.788066867,15.6349348329,1011.0,171.413055789,36.6878461789,645.0,109.840522566,23.5276013856,19.0,1.9,0.19,206.0,3.25876127168,0.0661248594075
8,0.0,12,360.502106596,613.406333998,757.348718535,570.0,70.4834241096,14.1507319913,1191.0,204.491701337,44.0751048155,491.0,85.2086265239,18.6775870397,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,4,360.011441454,786.888533835,141.514584813,550.0,68.1952736938,13.644509315,1374.0,230.549166896,49.1683597648,372.0,61.3228851094,12.5341988932,0.0,0.0,0.0,0.0,0.0,0.0
10,0.15,12,360.203646249,378.128631755,118.908190579,553.0,72.9041344936,15.98862319,1318.0,229.141647801,49.8515361862,303.0,50.990220293,11.0378779033,34.0,3.4,0.34,201.0,3.68329217152,0.0795262727309
11,0.0,7,359.853707886,506.310460222,247.303215734,570.0,72.823471726,15.1100702789,1170.0,195.870834963,41.8420289466,545.0,91.4114394043,19.2114549644,0.0,0.0,0.0,0.0,0.0,0.0
12,0.15,6,360.517671273,705.545467762,14.3261456512,566.0,70.2597880445,14.5742775774,1353.0,230.531543909,49.6553553757,308.0,51.5167112661,11.0842450878,31.0,3.1,0.31,252.0,4.81061056574,0.114827614104
13,0.15,9,359.934005801,60.9221187597,512.178966732,569.0,69.8111760253,13.0184863262,1140.0,197.282339282,42.8282888946,529.0,85.7688176836,17.885792885,31.0,3.1,0.31,222.0,4.08972670921,0.0944604307578
14,0.0,6,360.471235976,98.942198094,758.91096906,577.0,68.4297718712,13.8193639204,1320.0,224.329504414,48.2120698138,414.0,67.3874292715,13.9778478978,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,11,360.185295155,777.423850547,870.875056083,566.0,68.2749485847,13.560514901,1445.0,249.28140827,54.4936334642,257.0,42.4487320564,8.77597419231,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,10,360.446343888,565.459695882,457.901248499,552.0,71.6591468772,15.2784059334,1076.0,184.268473947,40.1484594191,606.0,104.150066284,22.3089073165,0.0,0.0,0.0,0.0,0.0,0.0
17,0.15,7,360.078161437,437.368413731,698.952267838,561.0,69.1983658214,14.6659759333,1267.0,214.499796812,45.9110659295,407.0,70.1009328408,15.1270859296,29.0,2.9,0.29,227.0,3.34532368491,0.0626940354237
18,0.0,11,359.911309549,234.17660227,704.543285739,571.0,68.872247727,14.1128847078,1213.0,208.139915279,44.5199106193,494.0,83.1103180284,17.4708629274,0.0,0.0,0.0,0.0,0.0,0.0
19,0.15,12,360.018996376,420.027821719,382.593300339,557.0,72.5329583663,15.8171416205,1242.0,215.249235332,46.495152035,366.0,67.0639947798,15.4810375291,24.0,2.4,0.24,197.0,2.83044319011,0.0487891075765
20,0.0,8,360.357085741,730.603306529,221.787037849,571.0,69.3576588158,14.452631635,1346.0,229.804230549,49.5335073809,355.0,60.8550489016,13.2854497096,0.0,0.0,0.0,0.0,0.0,0.0
21,0.15,11,360.11891805,264.700607052,790.262813009,573.0,72.6382093869,15.0642634754,1186.0,200.917437435,43.3272004781,472.0,79.1058483138,16.8065933786,36.0,3.6,0.36,218.0,3.77157475832,0.0846431315344
22,0.15,9,360.299109724,863.870138574,762.238525764,562.0,65.712993287,12.2656726824,1428.0,242.541967261,51.949354091,239.0,43.1074652676,9.67328461465,38.0,3.8,0.38,268.0,4.87248290574,0.113097288795
23,0.15,13,360.417609532,489.799002457,484.896447622,571.0,72.3476927534,15.3220968017,1139.0,190.234242455,40.4135264112,533.0,91.6626402837,19.4984323433,29.0,2.9,0.29,216.0,3.00528914562,0.0498491051383
24,0.0,11,360.064634923,590.600483392,410.194222039,564.0,68.7807215594,14.3948520355,990.0,168.96318394,36.9267552302,724.0,122.349707543,26.386233483,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,4,359.830353258,30.3317638159,102.513216464,547.0,72.4117446661,15.9842134036,1363.0,230.1454586,49.4607803375,339.0,57.4871479056,12.2044014699,0.0,0.0,0.0,0.0,0.0,0.0
26,0.15,6,360.552893279,392.629189635,783.766792903,565.0,68.3433049743,13.1719526561,1271.0,212.183625473,45.9132060864,439.0,73.0853474006,15.2765827566,31.0,3.1,0.31,201.0,3.39984794302,0.0712595635407
27,0.0,11,360.29478454,626.723608968,16.3254115407,563.0,67.2676606202,13.469203009,1332.0,225.593280657,48.6522257251,395.0,67.2404057936,14.4059688919,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,5,360.031468495,632.055095803,444.089828286,563.0,71.6706756876,15.5481352485,1177.0,196.664978978,41.8045212854,542.0,91.7660676699,19.9118587258,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,2,360.21217039,298.963056079,834.575930372,566.0,71.0297807004,14.1723713473,1306.0,215.70285969,45.3295583905,418.0,73.4123253702,16.5025713369,0.0,0.0,0.0,0.0,0.0,0.0
30,0.15,6,360.343371882,14.4912739727,153.022720999,570.0,68.5170387376,13.5876468506,1184.0,198.828823001,42.1126858225,501.0,85.4766875711,18.20070859,27.0,2.7,0.27,214.0,4.66202547391,0.121949478735
31,0.15,4,360.66687183,619.214918116,426.131051052,555.0,71.8229251131,15.7606504324,1043.0,177.609104639,38.6113631805,610.0,106.263479676,23.3974770823,21.0,2.1,0.21,185.0,2.32405371609,0.0364973001859
