id,probability_maraud,successful_mating,next_foraging_time,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.15,6,360.554696528,1070.67645557,2008.32977831,573.0,71.7414832309,15.2270476371,1204.0,201.064979113,42.6301230359,473.0,80.9574586337,17.1793536686,19.0,1.9,0.19,201.0,4.38968478167,0.120751287059
1,0.15,16,360.048036611,1775.62063892,1533.95269303,571.0,73.0105310256,15.3097731441,865.0,147.209547624,31.6919682259,789.0,134.541502303,28.9948766734,18.0,1.8,0.18,162.0,3.47130319456,0.0919958283834
2,0.15,7,360.379672748,228.531475157,77.0829229781,583.0,65.4164647564,11.9094742055,984.0,168.068770879,36.1901704676,722.0,121.75397034,26.0560205157,21.0,2.1,0.21,182.0,2.88337954189,0.0672038922523
3,0.15,5,360.127243366,1938.8863911,163.717352172,563.0,70.4073461101,14.8652061236,902.0,150.318783576,32.3078923311,798.0,133.97406334,28.637229105,25.0,2.5,0.25,165.0,2.8235088469,0.0698345968916
4,0.15,12,360.109220205,365.125782109,607.493206231,575.0,71.6178079833,14.9363683091,904.0,155.006495873,34.0994789601,767.0,128.488891458,27.2018583206,16.0,1.6,0.16,160.0,3.35459601835,0.0935350522298
5,0.15,17,360.598025855,1100.47598214,1063.45705997,571.0,71.7449758533,14.6215580256,1032.0,178.079064083,38.5937832593,609.0,103.920756048,22.3471867904,22.0,2.2,0.22,186.0,4.20001493754,0.130809519316
6,0.15,8,360.091094402,1593.29701328,1256.35118116,577.0,72.1089681643,14.6229701091,818.0,143.336202831,30.9096043726,836.0,140.415986326,29.7806342934,13.0,1.3,0.13,141.0,3.00587076523,0.0824552519949
7,0.15,11,360.049007101,669.420823859,1300.01926771,575.0,68.5180938303,13.4380037865,1025.0,178.773442932,39.1780744274,678.0,107.474612804,22.3483204091,17.0,1.7,0.17,176.0,3.8564048812,0.105247277996
8,0.15,6,360.171813948,1985.51571913,1943.48267196,559.0,75.8307965386,16.9953672676,867.0,145.533493901,30.7734824644,795.0,134.375737024,28.1868966622,18.0,1.8,0.18,147.0,2.47885806265,0.0606881108264
9,0.15,9,360.529212717,560.788783294,2104.14047974,574.0,75.4682079067,17.0134629971,975.0,163.140589223,34.8630928851,687.0,115.72533677,24.5791385847,21.0,2.1,0.21,170.0,3.57487493807,0.0977850468978
